"Season","Squad","Comp","Player","Nation","Pos","Age","MP_Playing_Time","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","xG_Per_Minutes","xAG_Per_Minutes","xG+xAG_Per_Minutes","npxG_Per_Minutes","npxG+xAG_Per_Minutes","PlayerURL"
"2023-2024","Liverpool","Premier League","Virgil van Dijk","NED","DF","32-282",30,30,2637,29.3,2,2,4,2,0,0,2,1,2.3,2.3,1.6,3.8,28,164,6,0.07,0.07,0.14,0.07,0.14,0.08,0.05,0.13,0.08,0.13,"https://fbref.com/en/players/e06683ca/Virgil-van-Dijk"
"2023-2024","Liverpool","Premier League","Luis Diaz","COL","FW","27-093",31,26,2169,24.1,8,4,12,8,0,0,2,0,10.6,10.6,4.2,14.7,107,93,239,0.33,0.17,0.5,0.33,0.5,0.44,0.17,0.61,0.44,0.61,"https://fbref.com/en/players/4a1a9578/Luis-Diaz"
"2023-2024","Liverpool","Premier League","Alexis Mac Allister","ARG","MF","25-113",27,26,2169,24.1,4,5,9,3,1,1,6,1,2.7,1.9,2.8,4.7,33,177,32,0.17,0.21,0.37,0.12,0.33,0.11,0.12,0.23,0.08,0.2,"https://fbref.com/en/players/83d074ff/Alexis-Mac-Allister"
"2023-2024","Liverpool","Premier League","Mohamed Salah","EGY","FW","31-305",26,24,2145,23.8,17,9,26,12,5,7,2,0,18.3,12.6,10.5,23,83,127,284,0.71,0.38,1.09,0.5,0.88,0.77,0.44,1.21,0.53,0.97,"https://fbref.com/en/players/e342ad68/Mohamed-Salah"
"2023-2024","Liverpool","Premier League","Dominik Szoboszlai","HUN","MF","23-173",27,24,2003,22.3,3,2,5,3,0,0,1,0,3.3,3.3,5.4,8.7,71,145,145,0.13,0.09,0.22,0.13,0.22,0.15,0.24,0.39,0.15,0.39,"https://fbref.com/en/players/934e1968/Dominik-Szoboszlai"
"2023-2024","Liverpool","Premier League","Alisson","BRA","GK","31-196",22,22,1980,22,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/7a2e46a8/Alisson"
"2023-2024","Liverpool","Premier League","Darwin Nunez","URU","FW","24-296",30,21,1876,20.8,11,8,19,11,0,1,8,0,15,14.2,5.6,19.8,52,52,190,0.53,0.38,0.91,0.53,0.91,0.72,0.27,0.99,0.68,0.95,"https://fbref.com/en/players/4d77b365/Darwin-Nunez"
"2023-2024","Liverpool","Premier League","Trent Alexander-Arnold","ENG","DF","25-191",22,19,1665,18.5,2,4,6,2,0,0,5,0,1.8,1.5,5.5,7.1,31,156,69,0.11,0.22,0.32,0.11,0.32,0.1,0.3,0.4,0.08,0.38,"https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold"
"2023-2024","Liverpool","Premier League","Joe Gomez","ENG","DF","26-328",27,16,1639,18.2,0,1,1,0,0,0,5,0,0.7,0.7,1.3,2,40,95,94,0,0.05,0.05,0,0.05,0.04,0.07,0.11,0.04,0.11,"https://fbref.com/en/players/7a11550b/Joe-Gomez"
"2023-2024","Liverpool","Premier League","Ibrahima Konate","FRA","DF","24-326",21,16,1512,16.8,0,0,0,0,0,0,5,1,0.7,0.7,0.4,1.1,24,112,3,0,0,0,0,0,0.04,0.03,0.07,0.04,0.07,"https://fbref.com/en/players/5ed9b537/Ibrahima-Konate"
"2023-2024","Liverpool","Premier League","Wataru Endo","JPN","MF","31-066",23,15,1297,14.4,1,0,1,1,0,0,8,0,0.5,0.5,1.7,2.2,8,69,17,0.07,0,0.07,0.07,0.07,0.03,0.12,0.15,0.03,0.15,"https://fbref.com/en/players/c149016b/Wataru-Endo"
"2023-2024","Liverpool","Premier League","Andrew Robertson","SCO","DF","30-035",18,13,1277,14.2,1,2,3,1,0,0,2,0,0.9,0.9,3.9,4.8,48,92,84,0.07,0.14,0.21,0.07,0.21,0.06,0.27,0.33,0.06,0.33,"https://fbref.com/en/players/2e4f5f03/Andrew-Robertson"
"2023-2024","Liverpool","Premier League","Curtis Jones","ENG","MF","23-076",20,13,1080,12,1,1,2,1,0,0,3,1,2.6,2.6,0.5,3.1,29,67,77,0.08,0.08,0.17,0.08,0.17,0.21,0.04,0.26,0.21,0.26,"https://fbref.com/en/players/4fb9c88f/Curtis-Jones"
"2023-2024","Liverpool","Premier League","Diogo Jota","POR","FW","27-133",20,13,1072,11.9,9,3,12,9,0,0,3,1,4.9,4.9,3.2,8.1,48,32,100,0.76,0.25,1.01,0.76,1.01,0.41,0.27,0.68,0.41,0.68,"https://fbref.com/en/players/178ae8f8/Diogo-Jota"
"2023-2024","Liverpool","Premier League","Cody Gakpo","NED","FW,MF","24-344",30,12,1230,13.7,6,3,9,6,0,0,1,0,6.3,6.3,1.8,8.1,32,61,94,0.44,0.22,0.66,0.44,0.66,0.46,0.13,0.59,0.46,0.59,"https://fbref.com/en/players/1971591f/Cody-Gakpo"
"2023-2024","Liverpool","Premier League","Ryan Gravenberch","NED","MF","21-335",21,10,905,10.1,0,0,0,0,0,0,0,0,1.6,1.6,0.8,2.3,32,64,56,0,0,0,0,0,0.16,0.08,0.23,0.16,0.23,"https://fbref.com/en/players/b8e740fb/Ryan-Gravenberch"
"2023-2024","Liverpool","Premier League","Caoimhin Kelleher","IRL","GK","25-144",10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/62d7ef38/Caoimhin-Kelleher"
"2023-2024","Liverpool","Premier League","Conor Bradley","NIR","DF","20-281",10,10,733,8.1,1,3,4,1,0,0,2,0,0.9,0.9,1.5,2.3,34,29,63,0.12,0.37,0.49,0.12,0.49,0.11,0.18,0.29,0.11,0.29,"https://fbref.com/en/players/bbd67769/Conor-Bradley"
"2023-2024","Liverpool","Premier League","Joel Matip","CMR","DF","32-251",10,9,781,8.7,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,8,34,1,0,0,0,0,0,0.06,0.01,0.06,0.06,0.06,"https://fbref.com/en/players/b217ef29/Joel-Matip"
"2023-2024","Liverpool","Premier League","Jarell Quansah","ENG","DF","21-077",11,8,713,7.9,0,0,0,0,0,0,1,0,0.1,0.1,0,0.2,7,45,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,"https://fbref.com/en/players/4125cb98/Jarell-Quansah"
"2023-2024","Liverpool","Premier League","Kostas Tsimikas","GRE","DF","27-339",12,8,672,7.5,0,3,3,0,0,0,0,0,0.1,0.1,1,1.1,23,31,69,0,0.4,0.4,0,0.4,0.01,0.14,0.15,0.01,0.15,"https://fbref.com/en/players/f315ca93/Kostas-Tsimikas"
