"Season","Squad","Comp","Player","Nation","Pos","Age","MP_Playing_Time","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","xG_Per_Minutes","xAG_Per_Minutes","xG+xAG_Per_Minutes","npxG_Per_Minutes","npxG+xAG_Per_Minutes","PlayerURL"
"2023-2024","Crystal Palace","Premier League","Joachim Andersen","DEN","DF","27-320",32,32,2879,32,2,2,4,2,0,0,5,0,1.3,1.3,2.3,3.6,21,131,8,0.06,0.06,0.13,0.06,0.13,0.04,0.07,0.11,0.04,0.11,"https://fbref.com/en/players/e34fc66d/Joachim-Andersen"
"2023-2024","Crystal Palace","Premier League","Tyrick Mitchell","ENG","DF,MF","24-227",31,31,2690,29.9,1,3,4,1,0,0,5,0,0.7,0.7,2.3,3,19,78,126,0.03,0.1,0.13,0.03,0.13,0.02,0.08,0.1,0.02,0.1,"https://fbref.com/en/players/5cbd1eb0/Tyrick-Mitchell"
"2023-2024","Crystal Palace","Premier League","Jordan Ayew","GHA","FW,MF","32-217",30,28,2364,26.3,4,6,10,4,0,0,8,1,3.8,3.8,4,7.8,68,62,163,0.15,0.23,0.38,0.15,0.38,0.15,0.15,0.3,0.15,0.3,"https://fbref.com/en/players/da052c14/Jordan-Ayew"
"2023-2024","Crystal Palace","Premier League","Jefferson Lerma","COL","MF,DF","29-173",27,27,2385,26.5,1,1,2,1,0,0,8,0,2.7,2.7,2.2,4.8,14,105,50,0.04,0.04,0.08,0.04,0.08,0.1,0.08,0.18,0.1,0.18,"https://fbref.com/en/players/9b5ce51a/Jefferson-Lerma"
"2023-2024","Crystal Palace","Premier League","Joel Ward","ENG","DF","34-169",24,23,1976,22,0,1,1,0,0,0,4,0,0.9,0.9,0.2,1.1,16,66,14,0,0.05,0.05,0,0.05,0.04,0.01,0.05,0.04,0.05,"https://fbref.com/en/players/8a7ff278/Joel-Ward"
"2023-2024","Crystal Palace","Premier League","Marc Guehi","ENG","DF","23-277",22,22,1912,21.2,0,1,1,0,0,0,2,0,0.6,0.6,0.5,1.2,13,58,6,0,0.05,0.05,0,0.05,0.03,0.02,0.05,0.03,0.05,"https://fbref.com/en/players/d0706b27/Marc-Guehi"
"2023-2024","Crystal Palace","Premier League","Sam Johnstone","ENG","GK","31-021",20,20,1796,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/9e5708be/Sam-Johnstone"
"2023-2024","Crystal Palace","Premier League","Jean-Philippe Mateta","FRA","FW","26-292",29,19,1847,20.5,7,4,11,5,2,2,3,0,6.9,5.3,2.5,7.9,25,20,108,0.34,0.19,0.54,0.24,0.44,0.34,0.12,0.46,0.26,0.38,"https://fbref.com/en/players/50e6dc35/Jean-Philippe-Mateta"
"2023-2024","Crystal Palace","Premier League","Eberechi Eze","ENG","MF,FW","25-291",22,19,1635,18.2,7,2,9,6,1,1,3,0,6.8,6,3.9,9.9,51,75,100,0.39,0.11,0.5,0.33,0.44,0.37,0.21,0.59,0.33,0.54,"https://fbref.com/en/players/ae4fc6a4/Eberechi-Eze"
"2023-2024","Crystal Palace","Premier League","Will Hughes","ENG","MF","28-364",25,18,1550,17.2,0,0,0,0,0,0,4,0,0.2,0.2,0.8,1,11,56,9,0,0,0,0,0,0.01,0.05,0.06,0.01,0.06,"https://fbref.com/en/players/a0666d3e/Will-Hughes"
"2023-2024","Crystal Palace","Premier League","Chris Richards","USA","DF,MF","24-018",20,17,1554,17.3,1,0,1,1,0,0,2,0,0.3,0.3,0.2,0.5,0,27,1,0.06,0,0.06,0.06,0.06,0.02,0.01,0.03,0.02,0.03,"https://fbref.com/en/players/0a3d6d2b/Chris-Richards"
"2023-2024","Crystal Palace","Premier League","Odsonne Edouard","FRA","FW,MF","26-090",25,17,1450,16.1,7,0,7,7,0,0,3,0,6.2,6.2,1.1,7.2,31,34,89,0.43,0,0.43,0.43,0.43,0.38,0.07,0.45,0.38,0.45,"https://fbref.com/en/players/0562b7f1/Odsonne-Edouard"
"2023-2024","Crystal Palace","Premier League","Jeffrey Schlupp","GHA","FW,MF","31-114",24,17,1310,14.6,1,2,3,1,0,0,1,0,1.8,1.8,2.2,3.9,19,30,46,0.07,0.14,0.21,0.07,0.21,0.12,0.15,0.27,0.12,0.27,"https://fbref.com/en/players/3312f911/Jeffrey-Schlupp"
"2023-2024","Crystal Palace","Premier League","Dean Henderson","ENG","GK","27-034",12,12,1080,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/e5a76dfe/Dean-Henderson"
"2023-2024","Crystal Palace","Premier League","Cheick Doucoure","MLI","MF","24-098",11,11,919,10.2,0,0,0,0,0,0,2,0,0.3,0.3,0.7,1,9,49,5,0,0,0,0,0,0.03,0.07,0.1,0.03,0.1,"https://fbref.com/en/players/ce4f40c7/Cheick-Doucoure"
"2023-2024","Crystal Palace","Premier League","Daniel Munoz","COL","DF,MF","27-325",10,10,900,10,0,1,1,0,0,0,3,0,0.8,0.8,0.5,1.3,11,16,38,0,0.1,0.1,0,0.1,0.08,0.05,0.13,0.08,0.13,"https://fbref.com/en/players/778ef829/Daniel-Munoz"
