"Season","Squad","Comp","Player","Nation","Pos","Age","MP_Playing_Time","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","xG_Per_Minutes","xAG_Per_Minutes","xG+xAG_Per_Minutes","npxG_Per_Minutes","npxG+xAG_Per_Minutes","PlayerURL"
"2023-2024","Chelsea","Premier League","Trevoh Chalobah","ENG","DF","24-285",5,3,306,3.4,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0.01,0.01,0,0.01,"https://fbref.com/en/players/5515376c/Trevoh-Chalobah"
"2023-2024","Chelsea","Premier League","Lesley Ugochukwu","FRA","MF","20-020",10,3,273,3,0,0,0,0,0,0,2,0,0,0,0,0,6,15,2,0,0,0,0,0,0,0.01,0.01,0,0.01,"https://fbref.com/en/players/1df4a109/Lesley-Ugochukwu"
"2023-2024","Chelsea","Premier League","Christopher Nkunku","FRA","FW,MF","26-153",7,2,319,3.5,2,0,2,2,0,0,0,0,1.7,1.7,0.1,1.9,7,9,28,0.56,0,0.56,0.56,0.56,0.49,0.04,0.53,0.49,0.53,"https://fbref.com/en/players/7c56da38/Christopher-Nkunku"
"2023-2024","Chelsea","Premier League","Carney Chukwuemeka","ENG","MF,FW","20-178",8,2,208,2.3,1,1,2,1,0,0,2,0,0.2,0.2,0.3,0.5,4,12,18,0.43,0.43,0.87,0.43,0.87,0.07,0.14,0.21,0.07,0.21,"https://fbref.com/en/players/b2f9c73e/Carney-Chukwuemeka"
"2023-2024","Chelsea","Premier League","Ian Maatsen","NED","FW,MF","22-036",12,1,209,2.3,0,0,0,0,0,0,1,0,0.8,0.8,0.1,0.9,9,8,15,0,0,0,0,0,0.35,0.04,0.39,0.35,0.39,"https://fbref.com/en/players/cab9634e/Ian-Maatsen"
"2023-2024","Chelsea","Premier League","Alfie Gilchrist","ENG","DF","20-139",7,0,40,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,1,1,0,0,0,0,0,0.15,0,0.15,0.15,0.15,"https://fbref.com/en/players/d91f104d/Alfie-Gilchrist"
"2023-2024","Chelsea","Premier League","Romeo Lavia","BEL","MF","20-100",1,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/ecad9aa5/Romeo-Lavia"
"2023-2024","Chelsea","Premier League","Cesare Casadei","ITA","MF,FW","21-096",4,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,1,0,0,0,0,0,0,0,0.31,0.31,0,0.31,"https://fbref.com/en/players/fb920f3a/Cesare-Casadei"
"2023-2024","Chelsea","Premier League","Deivid Washington","BRA","DF","18-315",1,0,10,0.1,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,1,0,0,0,0,0,4.19,0,4.19,4.19,4.19,"https://fbref.com/en/players/95bd120d/Deivid-Washington"
"2023-2024","Chelsea","Premier League","Mason Burstow","ENG","FW","20-255",2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/dab84ad2/Mason-Burstow"
