"Season","Squad","Comp","Player","Nation","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","xG_Per_Minutes","xAG_Per_Minutes","xG+xAG_Per_Minutes","npxG_Per_Minutes","npxG+xAG_Per_Minutes","PlayerURL"
"2023-2024","Everton","Premier League","Alex Iwobi","NGA","MF","27-348",2,2,140,1.6,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,6,4,8,0,0,0,0,0,0.21,0.14,0.35,0.21,0.35,"https://fbref.com/en/players/6ca5ec4b/Alex-Iwobi"
"2023-2024","Everton","Premier League","Lewis Dobbin","ENG","MF","21-103",11,1,210,2.3,1,0,1,1,0,0,1,0,0.3,0.3,0.4,0.7,6,3,16,0.43,0,0.43,0.43,0.43,0.12,0.16,0.28,0.12,0.28,"https://fbref.com/en/players/e814e1cf/Lewis-Dobbin"
"2023-2024","Everton","Premier League","Neal Maupay","FRA","FW","27-245",2,1,111,1.2,0,0,0,0,0,0,0,0,1.4,1.4,0.1,1.5,1,0,6,0,0,0,0,0,1.16,0.05,1.22,1.16,1.22,"https://fbref.com/en/players/4bcf39f6/Neal-Maupay"
"2023-2024","Everton","Premier League","Youssef Chermiti","POR","FW","19-327",12,0,78,0.9,0,0,0,0,0,0,2,0,0.5,0.5,0.4,0.9,1,4,8,0,0,0,0,0,0.59,0.47,1.06,0.59,1.06,"https://fbref.com/en/players/890f108d/Youssef-Chermiti"
"2023-2024","Everton","Premier League","Thomas Cannon","IRL","FW","21-109",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/4506aec5/Thomas-Cannon"
"2023-2024","Everton","Premier League","Tyler Onyango","ENG","MF","21-042",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/d86a1f3e/Tyler-Onyango"
"2023-2024","Everton","Premier League","Elijah Campbell","ENG","DF","19-257",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/48ba3f58/Elijah-Campbell"
"2023-2024","Everton","Premier League","Mackenzie Hunt","ENG","DF","22-153",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/a7a688d7/Mackenzie-Hunt"
"2023-2024","Everton","Premier League","Andy Lonergan","IRL","GK","40-179",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/165cf989/Andy-Lonergan"
"2023-2024","Everton","Premier League","Jenson Metcalfe","ENG","MF","19-222",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/5c2595e2/Jenson-Metcalfe"
"2023-2024","Everton","Premier League","Joao Virginia","POR","GK","24-188",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/728e9b2e/Joao-Virginia"
"2023-2024","Everton","Premier League","Lewis Warrington","ENG","MF","21-188",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/8e633970/Lewis-Warrington"
