"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-11-27","Fußball-Bundesliga (Matchweek 13)","Greuther Fürth","4-3-3",3,1.1,"Jamie Leweling · 22&rsquor; Timothy Tillman · 46&rsquor; Branimir Hrgota · 67&rsquor;","1","0","Hoffenheim","4-3-3",6,4,"Ihlas Bebou · 32&rsquor; Georginio Rutter · 40&rsquor; Georginio Rutter · 57&rsquor; Ihlas Bebou · 62&rsquor; Marco Meyerhöfer (OG) · 66&rsquor; Ihlas Bebou · 80&rsquor;","0","0","https://fbref.com/en/matches/fe2da330/Greuther-Furth-Hoffenheim-November-27-2021-Bundesliga","Greuther Fürth","Home","Dickson Abiama",11,"NGA","FW","23-024",69,0,0,0,0,0,0,0,0,22,0,1,0,0,0,0.2,2,0,11,18,61.1,3,10,3,1,1
"Fußball-Bundesliga","2021-11-27","Fußball-Bundesliga (Matchweek 13)","Greuther Fürth","4-3-3",3,1.1,"Jamie Leweling · 22&rsquor; Timothy Tillman · 46&rsquor; Branimir Hrgota · 67&rsquor;","1","0","Hoffenheim","4-3-3",6,4,"Ihlas Bebou · 32&rsquor; Georginio Rutter · 40&rsquor; Georginio Rutter · 57&rsquor; Ihlas Bebou · 62&rsquor; Marco Meyerhöfer (OG) · 66&rsquor; Ihlas Bebou · 80&rsquor;","0","0","https://fbref.com/en/matches/fe2da330/Greuther-Furth-Hoffenheim-November-27-2021-Bundesliga","Greuther Fürth","Home","Cedric Itten",19,"SUI","FW","24-335",21,0,0,0,0,1,1,0,0,9,0,1,0,0,0,0,1,0,5,7,71.4,1,5,0,0,0
"Fußball-Bundesliga","2021-11-27","Fußball-Bundesliga (Matchweek 13)","Greuther Fürth","4-3-3",3,1.1,"Jamie Leweling · 22&rsquor; Timothy Tillman · 46&rsquor; Branimir Hrgota · 67&rsquor;","1","0","Hoffenheim","4-3-3",6,4,"Ihlas Bebou · 32&rsquor; Georginio Rutter · 40&rsquor; Georginio Rutter · 57&rsquor; Ihlas Bebou · 62&rsquor; Marco Meyerhöfer (OG) · 66&rsquor; Ihlas Bebou · 80&rsquor;","0","0","https://fbref.com/en/matches/fe2da330/Greuther-Furth-Hoffenheim-November-27-2021-Bundesliga","Greuther Fürth","Home","Branimir Hrgota",10,"SWE","LW","28-319",90,1,2,0,0,5,3,0,0,38,1,0,1,0.3,0.3,0.3,8,2,18,25,72,3,24,2,3,2
"Fußball-Bundesliga","2021-11-27","Fußball-Bundesliga (Matchweek 13)","Greuther Fürth","4-3-3",3,1.1,"Jamie Leweling · 22&rsquor; Timothy Tillman · 46&rsquor; Branimir Hrgota · 67&rsquor;","1","0","Hoffenheim","4-3-3",6,4,"Ihlas Bebou · 32&rsquor; Georginio Rutter · 40&rsquor; Georginio Rutter · 57&rsquor; Ihlas Bebou · 62&rsquor; Marco Meyerhöfer (OG) · 66&rsquor; Ihlas Bebou · 80&rsquor;","0","0","https://fbref.com/en/matches/fe2da330/Greuther-Furth-Hoffenheim-November-27-2021-Bundesliga","Greuther Fürth","Home","Jamie Leweling",40,"GER","RW","20-274",90,1,1,0,0,2,1,0,0,25,0,0,0,0.2,0.2,0.2,2,1,10,18,55.6,3,22,3,0,0
"Fußball-Bundesliga","2021-11-27","Fußball-Bundesliga (Matchweek 13)","Greuther Fürth","4-3-3",3,1.1,"Jamie Leweling · 22&rsquor; Timothy Tillman · 46&rsquor; Branimir Hrgota · 67&rsquor;","1","0","Hoffenheim","4-3-3",6,4,"Ihlas Bebou · 32&rsquor; Georginio Rutter · 40&rsquor; Georginio Rutter · 57&rsquor; Ihlas Bebou · 62&rsquor; Marco Meyerhöfer (OG) · 66&rsquor; Ihlas Bebou · 80&rsquor;","0","0","https://fbref.com/en/matches/fe2da330/Greuther-Furth-Hoffenheim-November-27-2021-Bundesliga","Greuther Fürth","Home","Timothy Tillman",21,"GER","LM","22-327",78,1,0,0,0,4,2,0,0,35,3,0,4,0.3,0.3,0.1,3,0,14,20,70,0,20,2,1,1
"Fußball-Bundesliga","2021-11-27","Fußball-Bundesliga (Matchweek 13)","Greuther Fürth","4-3-3",3,1.1,"Jamie Leweling · 22&rsquor; Timothy Tillman · 46&rsquor; Branimir Hrgota · 67&rsquor;","1","0","Hoffenheim","4-3-3",6,4,"Ihlas Bebou · 32&rsquor; Georginio Rutter · 40&rsquor; Georginio Rutter · 57&rsquor; Ihlas Bebou · 62&rsquor; Marco Meyerhöfer (OG) · 66&rsquor; Ihlas Bebou · 80&rsquor;","0","0","https://fbref.com/en/matches/fe2da330/Greuther-Furth-Hoffenheim-November-27-2021-Bundesliga","Greuther Fürth","Home","Jeremy Dudziak",28,"TUN","LM","26-091",12,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0.1,1,0,5,5,100,2,7,0,0,0
"Fußball-Bundesliga","2021-11-27","Fußball-Bundesliga (Matchweek 13)","Greuther Fürth","4-3-3",3,1.1,"Jamie Leweling · 22&rsquor; Timothy Tillman · 46&rsquor; Branimir Hrgota · 67&rsquor;","1","0","Hoffenheim","4-3-3",6,4,"Ihlas Bebou · 32&rsquor; Georginio Rutter · 40&rsquor; Georginio Rutter · 57&rsquor; Ihlas Bebou · 62&rsquor; Marco Meyerhöfer (OG) · 66&rsquor; Ihlas Bebou · 80&rsquor;","0","0","https://fbref.com/en/matches/fe2da330/Greuther-Furth-Hoffenheim-November-27-2021-Bundesliga","Greuther Fürth","Home","Max Christiansen",13,"GER","CM","25-063",90,0,0,0,0,0,0,1,0,59,2,1,3,0,0,0,1,0,41,48,85.4,5,37,1,0,0
"Fußball-Bundesliga","2021-11-27","Fußball-Bundesliga (Matchweek 13)","Greuther Fürth","4-3-3",3,1.1,"Jamie Leweling · 22&rsquor; Timothy Tillman · 46&rsquor; Branimir Hrgota · 67&rsquor;","1","0","Hoffenheim","4-3-3",6,4,"Ihlas Bebou · 32&rsquor; Georginio Rutter · 40&rsquor; Georginio Rutter · 57&rsquor; Ihlas Bebou · 62&rsquor; Marco Meyerhöfer (OG) · 66&rsquor; Ihlas Bebou · 80&rsquor;","0","0","https://fbref.com/en/matches/fe2da330/Greuther-Furth-Hoffenheim-November-27-2021-Bundesliga","Greuther Fürth","Home","Håvard Nielsen",16,"NOR","RM","28-135",86,0,0,0,0,2,0,0,0,39,1,1,2,0.1,0.1,0,2,1,18,28,64.3,4,22,2,0,0
"Fußball-Bundesliga","2021-11-27","Fußball-Bundesliga (Matchweek 13)","Greuther Fürth","4-3-3",3,1.1,"Jamie Leweling · 22&rsquor; Timothy Tillman · 46&rsquor; Branimir Hrgota · 67&rsquor;","1","0","Hoffenheim","4-3-3",6,4,"Ihlas Bebou · 32&rsquor; Georginio Rutter · 40&rsquor; Georginio Rutter · 57&rsquor; Ihlas Bebou · 62&rsquor; Marco Meyerhöfer (OG) · 66&rsquor; Ihlas Bebou · 80&rsquor;","0","0","https://fbref.com/en/matches/fe2da330/Greuther-Furth-Hoffenheim-November-27-2021-Bundesliga","Greuther Fürth","Home","Sebastian Griesbeck",22,"GER","RM","31-055",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"Fußball-Bundesliga","2021-11-27","Fußball-Bundesliga (Matchweek 13)","Greuther Fürth","4-3-3",3,1.1,"Jamie Leweling · 22&rsquor; Timothy Tillman · 46&rsquor; Branimir Hrgota · 67&rsquor;","1","0","Hoffenheim","4-3-3",6,4,"Ihlas Bebou · 32&rsquor; Georginio Rutter · 40&rsquor; Georginio Rutter · 57&rsquor; Ihlas Bebou · 62&rsquor; Marco Meyerhöfer (OG) · 66&rsquor; Ihlas Bebou · 80&rsquor;","0","0","https://fbref.com/en/matches/fe2da330/Greuther-Furth-Hoffenheim-November-27-2021-Bundesliga","Greuther Fürth","Home","Marco Meyerhöfer",18,"GER","LB","26-009",90,0,0,0,0,0,0,0,0,57,2,1,1,0,0,0,1,0,40,47,85.1,4,39,4,3,2
