"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-02-20","Fußball-Bundesliga (Matchweek 23)","Hertha BSC","4-3-3",1,1,"Stevan Jovetić · 48&rsquor; Marc-Oliver Kempf · 62&rsquor;","2","1","RB Leipzig","3-1-4-2",6,3.4,"Benjamin Henrichs · 20&rsquor; Christopher Nkunku (P) · 64&rsquor; Christopher Nkunku · 67&rsquor; Dani Olmo · 74&rsquor; Amadou Haidara · 81&rsquor; Yussuf Poulsen · 88&rsquor;","3","0","https://fbref.com/en/matches/7bce087d/Hertha-BSC-RB-Leipzig-February-20-2022-Bundesliga","Hertha BSC","Home","Stevan Jovetić",19,"MNE","FW,LM","32-110",69,1,0,0,0,4,3,0,0,31,0,0,1,0.6,0.6,0.1,3,0,16,22,72.7,0,19,4,2,1
"Fußball-Bundesliga","2022-02-20","Fußball-Bundesliga (Matchweek 23)","Hertha BSC","4-3-3",1,1,"Stevan Jovetić · 48&rsquor; Marc-Oliver Kempf · 62&rsquor;","2","1","RB Leipzig","3-1-4-2",6,3.4,"Benjamin Henrichs · 20&rsquor; Christopher Nkunku (P) · 64&rsquor; Christopher Nkunku · 67&rsquor; Dani Olmo · 74&rsquor; Amadou Haidara · 81&rsquor; Yussuf Poulsen · 88&rsquor;","3","0","https://fbref.com/en/matches/7bce087d/Hertha-BSC-RB-Leipzig-February-20-2022-Bundesliga","Hertha BSC","Home","Myziane Maolida",11,"FRA","LM","23-006",21,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,7,9,77.8,1,5,0,1,1
"Fußball-Bundesliga","2022-02-20","Fußball-Bundesliga (Matchweek 23)","Hertha BSC","4-3-3",1,1,"Stevan Jovetić · 48&rsquor; Marc-Oliver Kempf · 62&rsquor;","2","1","RB Leipzig","3-1-4-2",6,3.4,"Benjamin Henrichs · 20&rsquor; Christopher Nkunku (P) · 64&rsquor; Christopher Nkunku · 67&rsquor; Dani Olmo · 74&rsquor; Amadou Haidara · 81&rsquor; Yussuf Poulsen · 88&rsquor;","3","0","https://fbref.com/en/matches/7bce087d/Hertha-BSC-RB-Leipzig-February-20-2022-Bundesliga","Hertha BSC","Home","Ishak Belfodil",14,"ALG","LW,FW","30-039",75,0,0,0,0,1,0,0,0,32,1,1,0,0.1,0.1,0.1,2,0,21,26,80.8,2,15,0,1,0
"Fußball-Bundesliga","2022-02-20","Fußball-Bundesliga (Matchweek 23)","Hertha BSC","4-3-3",1,1,"Stevan Jovetić · 48&rsquor; Marc-Oliver Kempf · 62&rsquor;","2","1","RB Leipzig","3-1-4-2",6,3.4,"Benjamin Henrichs · 20&rsquor; Christopher Nkunku (P) · 64&rsquor; Christopher Nkunku · 67&rsquor; Dani Olmo · 74&rsquor; Amadou Haidara · 81&rsquor; Yussuf Poulsen · 88&rsquor;","3","0","https://fbref.com/en/matches/7bce087d/Hertha-BSC-RB-Leipzig-February-20-2022-Bundesliga","Hertha BSC","Home","Anton Kade",46,"GER","RM","18-034",15,0,0,0,0,1,1,0,0,5,0,0,0,0.3,0.3,0,0,0,2,2,100,0,3,1,2,0
"Fußball-Bundesliga","2022-02-20","Fußball-Bundesliga (Matchweek 23)","Hertha BSC","4-3-3",1,1,"Stevan Jovetić · 48&rsquor; Marc-Oliver Kempf · 62&rsquor;","2","1","RB Leipzig","3-1-4-2",6,3.4,"Benjamin Henrichs · 20&rsquor; Christopher Nkunku (P) · 64&rsquor; Christopher Nkunku · 67&rsquor; Dani Olmo · 74&rsquor; Amadou Haidara · 81&rsquor; Yussuf Poulsen · 88&rsquor;","3","0","https://fbref.com/en/matches/7bce087d/Hertha-BSC-RB-Leipzig-February-20-2022-Bundesliga","Hertha BSC","Home","Marco Richter",23,"GER","RW,RM","24-088",75,0,0,0,0,1,0,1,0,23,3,1,3,0.1,0.1,0.2,3,0,9,13,69.2,0,11,0,0,0
"Fußball-Bundesliga","2022-02-20","Fußball-Bundesliga (Matchweek 23)","Hertha BSC","4-3-3",1,1,"Stevan Jovetić · 48&rsquor; Marc-Oliver Kempf · 62&rsquor;","2","1","RB Leipzig","3-1-4-2",6,3.4,"Benjamin Henrichs · 20&rsquor; Christopher Nkunku (P) · 64&rsquor; Christopher Nkunku · 67&rsquor; Dani Olmo · 74&rsquor; Amadou Haidara · 81&rsquor; Yussuf Poulsen · 88&rsquor;","3","0","https://fbref.com/en/matches/7bce087d/Hertha-BSC-RB-Leipzig-February-20-2022-Bundesliga","Hertha BSC","Home","Davie Selke",7,"GER","FW","27-031",15,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.3,1,0,6,7,85.7,2,3,0,1,0
"Fußball-Bundesliga","2022-02-20","Fußball-Bundesliga (Matchweek 23)","Hertha BSC","4-3-3",1,1,"Stevan Jovetić · 48&rsquor; Marc-Oliver Kempf · 62&rsquor;","2","1","RB Leipzig","3-1-4-2",6,3.4,"Benjamin Henrichs · 20&rsquor; Christopher Nkunku (P) · 64&rsquor; Christopher Nkunku · 67&rsquor; Dani Olmo · 74&rsquor; Amadou Haidara · 81&rsquor; Yussuf Poulsen · 88&rsquor;","3","0","https://fbref.com/en/matches/7bce087d/Hertha-BSC-RB-Leipzig-February-20-2022-Bundesliga","Hertha BSC","Home","Vladimír Darida",6,"CZE","LM,CM","31-196",90,0,0,0,0,0,0,0,0,55,0,1,2,0,0,0.1,2,0,30,43,69.8,5,23,0,0,0
"Fußball-Bundesliga","2022-02-20","Fußball-Bundesliga (Matchweek 23)","Hertha BSC","4-3-3",1,1,"Stevan Jovetić · 48&rsquor; Marc-Oliver Kempf · 62&rsquor;","2","1","RB Leipzig","3-1-4-2",6,3.4,"Benjamin Henrichs · 20&rsquor; Christopher Nkunku (P) · 64&rsquor; Christopher Nkunku · 67&rsquor; Dani Olmo · 74&rsquor; Amadou Haidara · 81&rsquor; Yussuf Poulsen · 88&rsquor;","3","0","https://fbref.com/en/matches/7bce087d/Hertha-BSC-RB-Leipzig-February-20-2022-Bundesliga","Hertha BSC","Home","Santiago Ascacíbar",18,"ARG","CM","24-360",90,0,1,0,0,0,0,1,0,62,8,0,1,0,0,0.1,1,1,44,50,88,1,30,0,1,0
"Fußball-Bundesliga","2022-02-20","Fußball-Bundesliga (Matchweek 23)","Hertha BSC","4-3-3",1,1,"Stevan Jovetić · 48&rsquor; Marc-Oliver Kempf · 62&rsquor;","2","1","RB Leipzig","3-1-4-2",6,3.4,"Benjamin Henrichs · 20&rsquor; Christopher Nkunku (P) · 64&rsquor; Christopher Nkunku · 67&rsquor; Dani Olmo · 74&rsquor; Amadou Haidara · 81&rsquor; Yussuf Poulsen · 88&rsquor;","3","0","https://fbref.com/en/matches/7bce087d/Hertha-BSC-RB-Leipzig-February-20-2022-Bundesliga","Hertha BSC","Home","Lucas Tousart",29,"FRA","RM,CB","24-297",90,0,0,0,0,1,0,0,0,44,2,1,2,0.1,0.1,0,0,0,21,30,70,1,20,0,0,0
"Fußball-Bundesliga","2022-02-20","Fußball-Bundesliga (Matchweek 23)","Hertha BSC","4-3-3",1,1,"Stevan Jovetić · 48&rsquor; Marc-Oliver Kempf · 62&rsquor;","2","1","RB Leipzig","3-1-4-2",6,3.4,"Benjamin Henrichs · 20&rsquor; Christopher Nkunku (P) · 64&rsquor; Christopher Nkunku · 67&rsquor; Dani Olmo · 74&rsquor; Amadou Haidara · 81&rsquor; Yussuf Poulsen · 88&rsquor;","3","0","https://fbref.com/en/matches/7bce087d/Hertha-BSC-RB-Leipzig-February-20-2022-Bundesliga","Hertha BSC","Home","Fredrik André Bjørkan",3,"NOR","LB","23-183",90,0,0,0,0,0,0,0,0,57,3,1,1,0,0,0,0,0,34,45,75.6,3,19,1,1,0
