"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Bayer Leverkusen","4-4-2",3,NA,"Eren Derdiyok · 24&rsquor; Arturo Vidal (P) · 58&rsquor; Stefan Kießling · 70&rsquor;","1","0","Mönchengladbach","4-4-2",6,NA,"Patrick Herrmann · 20&rsquor; Roel Brouwers · 40&rsquor; Patrick Herrmann · 44&rsquor; Juan Arango · 56&rsquor; Mohammadou Idrissou · 60&rsquor; Marco Reus · 69&rsquor;","1","0","https://fbref.com/en/matches/c840dd76/Bayer-Leverkusen-Monchengladbach-August-29-2010-Bundesliga","Bayer Leverkusen","Home","Eren Derdiyok",NA,"SUI","FW","22-078",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Bayer Leverkusen","4-4-2",3,NA,"Eren Derdiyok · 24&rsquor; Arturo Vidal (P) · 58&rsquor; Stefan Kießling · 70&rsquor;","1","0","Mönchengladbach","4-4-2",6,NA,"Patrick Herrmann · 20&rsquor; Roel Brouwers · 40&rsquor; Patrick Herrmann · 44&rsquor; Juan Arango · 56&rsquor; Mohammadou Idrissou · 60&rsquor; Marco Reus · 69&rsquor;","1","0","https://fbref.com/en/matches/c840dd76/Bayer-Leverkusen-Monchengladbach-August-29-2010-Bundesliga","Bayer Leverkusen","Home","Stefan Kießling",NA,"GER","FW,MF","26-216",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Bayer Leverkusen","4-4-2",3,NA,"Eren Derdiyok · 24&rsquor; Arturo Vidal (P) · 58&rsquor; Stefan Kießling · 70&rsquor;","1","0","Mönchengladbach","4-4-2",6,NA,"Patrick Herrmann · 20&rsquor; Roel Brouwers · 40&rsquor; Patrick Herrmann · 44&rsquor; Juan Arango · 56&rsquor; Mohammadou Idrissou · 60&rsquor; Marco Reus · 69&rsquor;","1","0","https://fbref.com/en/matches/c840dd76/Bayer-Leverkusen-Monchengladbach-August-29-2010-Bundesliga","Bayer Leverkusen","Home","Tranquillo Barnetta",NA,"SUI","MF","25-099",62,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Bayer Leverkusen","4-4-2",3,NA,"Eren Derdiyok · 24&rsquor; Arturo Vidal (P) · 58&rsquor; Stefan Kießling · 70&rsquor;","1","0","Mönchengladbach","4-4-2",6,NA,"Patrick Herrmann · 20&rsquor; Roel Brouwers · 40&rsquor; Patrick Herrmann · 44&rsquor; Juan Arango · 56&rsquor; Mohammadou Idrissou · 60&rsquor; Marco Reus · 69&rsquor;","1","0","https://fbref.com/en/matches/c840dd76/Bayer-Leverkusen-Monchengladbach-August-29-2010-Bundesliga","Bayer Leverkusen","Home","Lars Bender",NA,"GER","DF,MF","21-124",28,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Bayer Leverkusen","4-4-2",3,NA,"Eren Derdiyok · 24&rsquor; Arturo Vidal (P) · 58&rsquor; Stefan Kießling · 70&rsquor;","1","0","Mönchengladbach","4-4-2",6,NA,"Patrick Herrmann · 20&rsquor; Roel Brouwers · 40&rsquor; Patrick Herrmann · 44&rsquor; Juan Arango · 56&rsquor; Mohammadou Idrissou · 60&rsquor; Marco Reus · 69&rsquor;","1","0","https://fbref.com/en/matches/c840dd76/Bayer-Leverkusen-Monchengladbach-August-29-2010-Bundesliga","Bayer Leverkusen","Home","Michael Ballack",NA,"GER","MF","33-337",62,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Bayer Leverkusen","4-4-2",3,NA,"Eren Derdiyok · 24&rsquor; Arturo Vidal (P) · 58&rsquor; Stefan Kießling · 70&rsquor;","1","0","Mönchengladbach","4-4-2",6,NA,"Patrick Herrmann · 20&rsquor; Roel Brouwers · 40&rsquor; Patrick Herrmann · 44&rsquor; Juan Arango · 56&rsquor; Mohammadou Idrissou · 60&rsquor; Marco Reus · 69&rsquor;","1","0","https://fbref.com/en/matches/c840dd76/Bayer-Leverkusen-Monchengladbach-August-29-2010-Bundesliga","Bayer Leverkusen","Home","Nicolai Jørgensen",NA,"DEN","FW,MF","19-226",28,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Bayer Leverkusen","4-4-2",3,NA,"Eren Derdiyok · 24&rsquor; Arturo Vidal (P) · 58&rsquor; Stefan Kießling · 70&rsquor;","1","0","Mönchengladbach","4-4-2",6,NA,"Patrick Herrmann · 20&rsquor; Roel Brouwers · 40&rsquor; Patrick Herrmann · 44&rsquor; Juan Arango · 56&rsquor; Mohammadou Idrissou · 60&rsquor; Marco Reus · 69&rsquor;","1","0","https://fbref.com/en/matches/c840dd76/Bayer-Leverkusen-Monchengladbach-August-29-2010-Bundesliga","Bayer Leverkusen","Home","Arturo Vidal",NA,"CHI","MF","23-099",71,1,NA,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Bayer Leverkusen","4-4-2",3,NA,"Eren Derdiyok · 24&rsquor; Arturo Vidal (P) · 58&rsquor; Stefan Kießling · 70&rsquor;","1","0","Mönchengladbach","4-4-2",6,NA,"Patrick Herrmann · 20&rsquor; Roel Brouwers · 40&rsquor; Patrick Herrmann · 44&rsquor; Juan Arango · 56&rsquor; Mohammadou Idrissou · 60&rsquor; Marco Reus · 69&rsquor;","1","0","https://fbref.com/en/matches/c840dd76/Bayer-Leverkusen-Monchengladbach-August-29-2010-Bundesliga","Bayer Leverkusen","Home","Hanno Balitsch",NA,"GER","MF","29-239",19,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Bayer Leverkusen","4-4-2",3,NA,"Eren Derdiyok · 24&rsquor; Arturo Vidal (P) · 58&rsquor; Stefan Kießling · 70&rsquor;","1","0","Mönchengladbach","4-4-2",6,NA,"Patrick Herrmann · 20&rsquor; Roel Brouwers · 40&rsquor; Patrick Herrmann · 44&rsquor; Juan Arango · 56&rsquor; Mohammadou Idrissou · 60&rsquor; Marco Reus · 69&rsquor;","1","0","https://fbref.com/en/matches/c840dd76/Bayer-Leverkusen-Monchengladbach-August-29-2010-Bundesliga","Bayer Leverkusen","Home","Renato Augusto",NA,"BRA","MF","22-202",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Bayer Leverkusen","4-4-2",3,NA,"Eren Derdiyok · 24&rsquor; Arturo Vidal (P) · 58&rsquor; Stefan Kießling · 70&rsquor;","1","0","Mönchengladbach","4-4-2",6,NA,"Patrick Herrmann · 20&rsquor; Roel Brouwers · 40&rsquor; Patrick Herrmann · 44&rsquor; Juan Arango · 56&rsquor; Mohammadou Idrissou · 60&rsquor; Marco Reus · 69&rsquor;","1","0","https://fbref.com/en/matches/c840dd76/Bayer-Leverkusen-Monchengladbach-August-29-2010-Bundesliga","Bayer Leverkusen","Home","Michal Kadlec",NA,"CZE","DF","25-259",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 2)","Bayer Leverkusen","4-4-2",3,NA,"Eren Derdiyok · 24&rsquor; Arturo Vidal (P) · 58&rsquor; Stefan Kießling · 70&rsquor;","1","0","Mönchengladbach","4-4-2",6,NA,"Patrick Herrmann · 20&rsquor; Roel Brouwers · 40&rsquor; Patrick Herrmann · 44&rsquor; Juan Arango · 56&rsquor; Mohammadou Idrissou · 60&rsquor; Marco Reus · 69&rsquor;","1","0","https://fbref.com/en/matches/c840dd76/Bayer-Leverkusen-Monchengladbach-August-29-2010-Bundesliga","Bayer Leverkusen","Home","Sami Hyypiä",NA,"FIN","DF","36-326",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
