"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Bayern Munich","4-2-3-1",7,4.8,"Eric Maxim Choupo-Moting · 4&rsquor; Harry Kane · 12&rsquor; Matthijs de Ligt · 29&rsquor; Leroy Sané · 38&rsquor; Harry Kane (P) · 54&rsquor; Mathys Tel · 81&rsquor; Harry Kane · 88&rsquor;","0","0","Bochum","3-5-2",0,0.1,"","1","0","https://fbref.com/en/matches/047ad2d7/Bayern-Munich-Bochum-September-23-2023-Bundesliga","Bayern Munich","Home","Frans Krätzig",41,"GER","LB","20-252",26,0,0,0,0,1,1,0,0,19,0,0,0,0.1,0.1,0,1,0,17,17,100,4,15,0,0,0
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Bayern Munich","4-2-3-1",7,4.8,"Eric Maxim Choupo-Moting · 4&rsquor; Harry Kane · 12&rsquor; Matthijs de Ligt · 29&rsquor; Leroy Sané · 38&rsquor; Harry Kane (P) · 54&rsquor; Mathys Tel · 81&rsquor; Harry Kane · 88&rsquor;","0","0","Bochum","3-5-2",0,0.1,"","1","0","https://fbref.com/en/matches/047ad2d7/Bayern-Munich-Bochum-September-23-2023-Bundesliga","Bayern Munich","Home","Kim Min-jae",3,"KOR","CB","26-312",90,0,0,0,0,0,0,0,0,94,1,2,0,0,0,0,2,1,76,81,93.8,2,49,2,0,0
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Bayern Munich","4-2-3-1",7,4.8,"Eric Maxim Choupo-Moting · 4&rsquor; Harry Kane · 12&rsquor; Matthijs de Ligt · 29&rsquor; Leroy Sané · 38&rsquor; Harry Kane (P) · 54&rsquor; Mathys Tel · 81&rsquor; Harry Kane · 88&rsquor;","0","0","Bochum","3-5-2",0,0.1,"","1","0","https://fbref.com/en/matches/047ad2d7/Bayern-Munich-Bochum-September-23-2023-Bundesliga","Bayern Munich","Home","Matthijs de Ligt",4,"NED","CB","24-042",45,1,0,0,0,2,1,0,0,40,1,1,0,0.3,0.3,0,1,0,28,31,90.3,1,24,0,0,0
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Bayern Munich","4-2-3-1",7,4.8,"Eric Maxim Choupo-Moting · 4&rsquor; Harry Kane · 12&rsquor; Matthijs de Ligt · 29&rsquor; Leroy Sané · 38&rsquor; Harry Kane (P) · 54&rsquor; Mathys Tel · 81&rsquor; Harry Kane · 88&rsquor;","0","0","Bochum","3-5-2",0,0.1,"","1","0","https://fbref.com/en/matches/047ad2d7/Bayern-Munich-Bochum-September-23-2023-Bundesliga","Bayern Munich","Home","Dayot Upamecano",2,"FRA","CB","24-331",45,0,0,0,0,1,1,0,0,50,0,1,0,0,0,0,2,0,40,45,88.9,2,34,4,0,0
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Bayern Munich","4-2-3-1",7,4.8,"Eric Maxim Choupo-Moting · 4&rsquor; Harry Kane · 12&rsquor; Matthijs de Ligt · 29&rsquor; Leroy Sané · 38&rsquor; Harry Kane (P) · 54&rsquor; Mathys Tel · 81&rsquor; Harry Kane · 88&rsquor;","0","0","Bochum","3-5-2",0,0.1,"","1","0","https://fbref.com/en/matches/047ad2d7/Bayern-Munich-Bochum-September-23-2023-Bundesliga","Bayern Munich","Home","Noussair Mazraoui",40,"MAR","RB","25-313",90,0,1,0,0,2,0,0,0,80,1,3,0,0.1,0.1,0.6,5,1,58,71,81.7,9,51,2,3,2
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Bayern Munich","4-2-3-1",7,4.8,"Eric Maxim Choupo-Moting · 4&rsquor; Harry Kane · 12&rsquor; Matthijs de Ligt · 29&rsquor; Leroy Sané · 38&rsquor; Harry Kane (P) · 54&rsquor; Mathys Tel · 81&rsquor; Harry Kane · 88&rsquor;","0","0","Bochum","3-5-2",0,0.1,"","1","0","https://fbref.com/en/matches/047ad2d7/Bayern-Munich-Bochum-September-23-2023-Bundesliga","Bayern Munich","Home","Sven Ulreich",26,"GER","GK","35-051",90,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,29,30,96.7,0,18,0,0,0
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Bayern Munich","4-2-3-1",7,4.8,"Eric Maxim Choupo-Moting · 4&rsquor; Harry Kane · 12&rsquor; Matthijs de Ligt · 29&rsquor; Leroy Sané · 38&rsquor; Harry Kane (P) · 54&rsquor; Mathys Tel · 81&rsquor; Harry Kane · 88&rsquor;","0","0","Bochum","3-5-2",0,0.1,"","1","0","https://fbref.com/en/matches/047ad2d7/Bayern-Munich-Bochum-September-23-2023-Bundesliga","Bochum","Away","Christopher Antwi-Adjei",22,"GHA","FW,RM,WB","29-228",76,0,0,0,0,0,0,0,0,25,1,0,1,0,0,0,0,0,13,19,68.4,0,13,1,0,0
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Bayern Munich","4-2-3-1",7,4.8,"Eric Maxim Choupo-Moting · 4&rsquor; Harry Kane · 12&rsquor; Matthijs de Ligt · 29&rsquor; Leroy Sané · 38&rsquor; Harry Kane (P) · 54&rsquor; Mathys Tel · 81&rsquor; Harry Kane · 88&rsquor;","0","0","Bochum","3-5-2",0,0.1,"","1","0","https://fbref.com/en/matches/047ad2d7/Bayern-Munich-Bochum-September-23-2023-Bundesliga","Bochum","Away","Lukas Daschner",13,"GER","RM","24-357",14,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,3,4,75,0,2,0,1,1
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Bayern Munich","4-2-3-1",7,4.8,"Eric Maxim Choupo-Moting · 4&rsquor; Harry Kane · 12&rsquor; Matthijs de Ligt · 29&rsquor; Leroy Sané · 38&rsquor; Harry Kane (P) · 54&rsquor; Mathys Tel · 81&rsquor; Harry Kane · 88&rsquor;","0","0","Bochum","3-5-2",0,0.1,"","1","0","https://fbref.com/en/matches/047ad2d7/Bayern-Munich-Bochum-September-23-2023-Bundesliga","Bochum","Away","Takuma Asano",11,"JPN","FW,LM","28-317",67,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,6,9,66.7,0,7,0,1,0
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Bayern Munich","4-2-3-1",7,4.8,"Eric Maxim Choupo-Moting · 4&rsquor; Harry Kane · 12&rsquor; Matthijs de Ligt · 29&rsquor; Leroy Sané · 38&rsquor; Harry Kane (P) · 54&rsquor; Mathys Tel · 81&rsquor; Harry Kane · 88&rsquor;","0","0","Bochum","3-5-2",0,0.1,"","1","0","https://fbref.com/en/matches/047ad2d7/Bayern-Munich-Bochum-September-23-2023-Bundesliga","Bochum","Away","Patrick Osterhage",6,"GER","LM","23-234",23,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,9,10,90,2,7,1,1,1
