,Team,Player
0,1,Marco Carnesecchi
1,1,Rafael Toloi
2,1,Berat Djimsiti
3,1,Isak Hien
4,1,Emil Holm
5,1,Mario Pasalic
6,1,Mario Pasalic
7,1,Matteo Ruggeri
8,1,Teun Koopmeiners
9,1,Charles De Ketelaere
10,1,Gianluca Scamacca
11,1,Juan Musso
12,1,Francesco Rossi
13,1,Mitchel Bakker
14,1,Sead Kolasinac
15,1,Hans Hateboer
16,1,Giovanni Bonfanti
17,1,Michel Ndary Adopo
18,1,Aleksey Miranchuk
19,1,El Bilal Toure
20,1,Ademola Lookman
21,1,Gian Piero Gasperini
22,2,Lorenzo Montipo
23,2,Fabien Centonze
24,2,Giangiacomo Magnani
25,2,Pawel Dawidowicz
26,2,Juan Cabal
27,2,Michael Folorunsho
28,2,Daniel Silva
29,2,Tomas Suslov
30,2,Darko Lazovic
31,2,Tijjani Noslin
32,2,Federico Bonazzoli
33,2,Mattia Chiesa
34,2,Simone Perilli
35,2,Ruben Vinagre
36,2,Diego Coppola
37,2,Reda Belahyane
38,2,Stefan Mitrovic
39,2,Stefan Mitrovic
40,2,Jackson Tchatchoua
41,2,Elayis Tavsan
42,2,Thomas Henry
43,2,Karol Swiderski
44,2,Alphadjo Cisse
45,2,Marco Baroni
