,Team,Player
0,1,Sergio Herrera
1,1,Jesus Areso
2,1,David Garcia
3,1,Jorge Herrando
4,1,Juan Cruz
5,1,Jon Moncayola
6,1,Iker Munoz
7,1,Moi Gomez
8,1,Ruben Garcia
9,1,Ante Budimir
10,1,Jose Arnaiz
11,1,Aitor Fernandez
12,1,Dimitrios Stamatakis
13,1,Ruben Pena
14,1,Johan Mojica
15,1,Alejandro Catena
16,1,Lucas Torro
17,1,Pablo Ibanez
18,1,Raul Garcia
19,1,Jagoba Arrasate
20,2,Giorgi Mamardashvili
21,2,Jesus Vazquez
22,2,Cristhian Mosquera
23,2,Cenk Ozkacar
24,2,Dimitri Foulquier
25,2,Fran Perez
26,2,Javi Guerra
27,2,Javi Guerra
28,2,Andre Almeida
29,2,Diego Lopez
30,2,Hugo Duro
31,2,Jaume Domenech
32,2,Cristian Rivero
33,2,Hugo Guillamon
34,2,Thierry Correia
35,2,Yarek Gasiorowski
36,2,Peter Gonzalez
37,2,Selim Amallah
38,2,Sergi Canos
39,2,Alberto Mari
40,2,Ruben Baraja
