,Team,Player
0,1,Pietro Terracciano
1,1,Michael Kayode
2,1,Lucas Martinez
3,1,Luca Ranieri
4,1,Fabiano Parisi
5,1,Giacomo Bonaventura
6,1,Alfred Duncan
7,1,Jonathan Ikone
8,1,Lucas Beltran
9,1,Riccardo Sottil
10,1,Andrea Belotti
11,1,Tommaso Martinelli
12,1,Oliver Christensen
13,1,Oliver Christensen
14,1,Cristiano Biraghi
15,1,Nikola Milenkovic
16,1,Davide Faraoni
17,1,Pietro Comuzzo
18,1,Arthur Melo
19,1,Maxime Lopez
20,1,Gaetano Castrovilli
21,1,Gino Infantino
22,1,Rolando Mandragora
23,1,Antonin Barak
24,1,Nicolas Gonzalez
25,1,Christian Kouame
26,1,Vincenzo Italiano
27,2,Josep Martinez
28,2,Koni De Winter
29,2,Mattia Bani
30,2,Johan Vasquez
31,2,Stefano Sabelli
32,2,Junior Messias
33,2,Milan Badelj
34,2,Morten Frendrup
35,2,Aaron Martin
36,2,Caleb Ekuban
37,2,Albert Gudmundsson
38,2,Nicola Leali
39,2,Daniele Sommariva
40,2,Alessandro Vogliacco
41,2,Giorgio Cittadini
42,2,Tommaso Pittino
43,2,Ridgeciano Haps
44,2,Djed Spence
45,2,Morten Thorsby
46,2,Emil Bohinen
47,2,Kevin Strootman
48,2,Christos Papadopoulos
49,2,Mateo Retegui
50,2,Alberto Gilardino
