"","Competition_Name","Gender","Country","Season_End_Year","Round","Wk","Day","Date","Time","Home","HomeGoals","Away","AwayGoals","Attendance","Venue","Referee","Notes","MatchURL","Home_xG","Away_xG"
"1","Fußball-Bundesliga","M","GER",2010,NA,"1","Fri",2009-08-07,NA,"Wolfsburg",2,"Stuttgart",0,NA,NA,"Felix Brych",NA,"https://fbref.com/en/matches/630b172c/Wolfsburg-Stuttgart-August-7-2009-Bundesliga",NA,NA
"2","Fußball-Bundesliga","M","GER",2010,NA,"1","Sat",2009-08-08,NA,"Dortmund",1,"Köln",0,NA,NA,"Wolfgang Stark",NA,"https://fbref.com/en/matches/1ed266f5/Dortmund-Koln-August-8-2009-Bundesliga",NA,NA
"3","Fußball-Bundesliga","M","GER",2010,NA,"1","Sat",2009-08-08,NA,"Hertha BSC",1,"Hannover 96",0,NA,NA,"Guido Winkmann",NA,"https://fbref.com/en/matches/3fdae7e9/Hertha-BSC-Hannover-96-August-8-2009-Bundesliga",NA,NA
"4","Fußball-Bundesliga","M","GER",2010,NA,"1","Sat",2009-08-08,NA,"Werder Bremen",2,"Eint Frankfurt",3,NA,NA,"Helmut Fleischer",NA,"https://fbref.com/en/matches/5880a490/Werder-Bremen-Eintracht-Frankfurt-August-8-2009-Bundesliga",NA,NA
"5","Fußball-Bundesliga","M","GER",2010,NA,"1","Sat",2009-08-08,NA,"Mainz 05",2,"Leverkusen",2,NA,NA,"Deniz Aytekin",NA,"https://fbref.com/en/matches/78472e7e/Mainz-05-Bayer-Leverkusen-August-8-2009-Bundesliga",NA,NA
"6","Fußball-Bundesliga","M","GER",2010,NA,"1","Sat",2009-08-08,NA,"Nürnberg",1,"Schalke 04",2,NA,NA,"Knut Kircher",NA,"https://fbref.com/en/matches/8e55ef1b/Nurnberg-Schalke-04-August-8-2009-Bundesliga",NA,NA
"7","Fußball-Bundesliga","M","GER",2010,NA,"1","Sat",2009-08-08,NA,"Hoffenheim",1,"Bayern Munich",1,NA,NA,"Babak Rafati",NA,"https://fbref.com/en/matches/ecf64e15/Hoffenheim-Bayern-Munich-August-8-2009-Bundesliga",NA,NA
"8","Fußball-Bundesliga","M","GER",2010,NA,"1","Sun",2009-08-09,NA,"Bochum",3,"M'Gladbach",3,NA,NA,"Michael Kempter",NA,"https://fbref.com/en/matches/411ce466/Bochum-Monchengladbach-August-9-2009-Bundesliga",NA,NA
"9","Fußball-Bundesliga","M","GER",2010,NA,"1","Sun",2009-08-09,NA,"Freiburg",1,"Hamburger SV",1,NA,NA,"Peter Sippel",NA,"https://fbref.com/en/matches/db1a25e7/Freiburg-Hamburger-SV-August-9-2009-Bundesliga",NA,NA
"10","Fußball-Bundesliga","M","GER",2010,NA,"10","Fri",2009-10-23,NA,"Leverkusen",1,"Dortmund",1,NA,NA,"Babak Rafati",NA,"https://fbref.com/en/matches/2ee7ec23/Bayer-Leverkusen-Dortmund-October-23-2009-Bundesliga",NA,NA
"11","Fußball-Bundesliga","M","GER",2010,NA,"10","Sat",2009-10-24,NA,"Mainz 05",3,"Freiburg",0,NA,NA,"Markus Schmidt",NA,"https://fbref.com/en/matches/17b51684/Mainz-05-Freiburg-October-24-2009-Bundesliga",NA,NA
"12","Fußball-Bundesliga","M","GER",2010,NA,"10","Sat",2009-10-24,NA,"Hannover 96",1,"Stuttgart",0,NA,NA,"Guido Winkmann",NA,"https://fbref.com/en/matches/892ef78c/Hannover-96-Stuttgart-October-24-2009-Bundesliga",NA,NA
"13","Fußball-Bundesliga","M","GER",2010,NA,"10","Sat",2009-10-24,NA,"Bayern Munich",2,"Eint Frankfurt",1,NA,NA,"Jochen Drees",NA,"https://fbref.com/en/matches/cee0000c/Bayern-Munich-Eintracht-Frankfurt-October-24-2009-Bundesliga",NA,NA
"14","Fußball-Bundesliga","M","GER",2010,NA,"10","Sat",2009-10-24,NA,"Hoffenheim",3,"Nürnberg",0,NA,NA,"Michael Weiner",NA,"https://fbref.com/en/matches/d4675520/Hoffenheim-Nurnberg-October-24-2009-Bundesliga",NA,NA
"15","Fußball-Bundesliga","M","GER",2010,NA,"10","Sat",2009-10-24,NA,"M'Gladbach",0,"Köln",0,NA,NA,"Knut Kircher",NA,"https://fbref.com/en/matches/e4d1cccc/Monchengladbach-Koln-October-24-2009-Bundesliga",NA,NA
