"","Competition_Name","Gender","Country","Season_End_Year","Round","Wk","Day","Date","Time","Home","HomeGoals","Away","AwayGoals","Attendance","Venue","Referee","Notes","MatchURL","Home_xG","Away_xG"
"1","Ligue 1","M","FRA",2013,NA,"1","Fri",2012-08-10,NA,"Montpellier",1,"Toulouse",1,NA,"Stade de la Mosson et du Mondial 98","Antony Gautier",NA,"https://fbref.com/en/matches/bed0019a/Montpellier-Toulouse-August-10-2012-Ligue-1",NA,NA
"2","Ligue 1","M","FRA",2013,NA,"1","Sat",2012-08-11,NA,"Nice",0,"Ajaccio",1,NA,"Allianz Riviera","Ruddy Buquet",NA,"https://fbref.com/en/matches/133c398b/Nice-Ajaccio-August-11-2012-Ligue-1",NA,NA
"3","Ligue 1","M","FRA",2013,NA,"1","Sat",2012-08-11,NA,"Nancy",1,"Brest",0,NA,"Stade Marcel Picot","Sébastien Moreira",NA,"https://fbref.com/en/matches/43ba1f21/Nancy-Brest-August-11-2012-Ligue-1",NA,NA
"4","Ligue 1","M","FRA",2013,NA,"1","Sat",2012-08-11,NA,"Saint-Étienne",1,"Lille",2,NA,"Stade Geoffroy","Lionel Jaffredo",NA,"https://fbref.com/en/matches/f09d2605/Saint-Etienne-Lille-August-11-2012-Ligue-1",NA,NA
"5","Ligue 1","M","FRA",2013,NA,"1","Sat",2012-08-11,NA,"Sochaux",2,"Bastia",3,NA,"Stade Bonal","Jean-Charles Cailleux",NA,"https://fbref.com/en/matches/3bb4eaf5/Sochaux-Bastia-August-11-2012-Ligue-1",NA,NA
"6","Ligue 1","M","FRA",2013,NA,"1","Sat",2012-08-11,NA,"Rennes",0,"Lyon",1,NA,"ROAZHON PARK","Nicolas Rainville",NA,"https://fbref.com/en/matches/d07176f8/Rennes-Lyon-August-11-2012-Ligue-1",NA,NA
"7","Ligue 1","M","FRA",2013,NA,"1","Sat",2012-08-11,NA,"Paris S-G",2,"Lorient",2,NA,"Parc des Princes","Tony Chapron",NA,"https://fbref.com/en/matches/148408a1/Paris-Saint-Germain-Lorient-August-11-2012-Ligue-1",NA,NA
"8","Ligue 1","M","FRA",2013,NA,"1","Sat",2012-08-11,NA,"Evian",2,"Bordeaux",3,NA,"Parc des Sports d’Annecy","Benoît Bastien",NA,"https://fbref.com/en/matches/d67691fa/Evian-Bordeaux-August-11-2012-Ligue-1",NA,NA
"9","Ligue 1","M","FRA",2013,NA,"1","Sat",2012-08-11,NA,"Troyes",0,"Valenciennes",1,NA,"Stade de l'Aube","Mikael Lesage",NA,"https://fbref.com/en/matches/a67c967a/Troyes-Valenciennes-August-11-2012-Ligue-1",NA,NA
"10","Ligue 1","M","FRA",2013,NA,"1","Sun",2012-08-12,NA,"Reims",0,"Marseille",1,NA,"Stade Auguste Delaune","Saïd Ennjimi",NA,"https://fbref.com/en/matches/4b2cc5f1/Reims-Marseille-August-12-2012-Ligue-1",NA,NA
"11","Ligue 1","M","FRA",2013,NA,"10","Fri",2012-10-26,NA,"Saint-Étienne",2,"Rennes",0,NA,"Stade Geoffroy","Philippe Kalt",NA,"https://fbref.com/en/matches/0ae018d5/Saint-Etienne-Rennes-October-26-2012-Ligue-1",NA,NA
"12","Ligue 1","M","FRA",2013,NA,"10","Sat",2012-10-27,NA,"Reims",1,"Troyes",1,NA,"Stade Auguste Delaune","Tony Chapron",NA,"https://fbref.com/en/matches/0b1c79eb/Reims-Troyes-October-27-2012-Ligue-1",NA,NA
"13","Ligue 1","M","FRA",2013,NA,"10","Sat",2012-10-27,NA,"Toulouse",3,"Brest",1,NA,"Stadium","Benoît Millot",NA,"https://fbref.com/en/matches/da893ebd/Toulouse-Brest-October-27-2012-Ligue-1",NA,NA
"14","Ligue 1","M","FRA",2013,NA,"10","Sat",2012-10-27,NA,"Nancy",0,"Paris S-G",1,NA,"Stade Marcel Picot","Alexandre Castro",NA,"https://fbref.com/en/matches/21cf8cfc/Nancy-Paris-Saint-Germain-October-27-2012-Ligue-1",NA,NA
"15","Ligue 1","M","FRA",2013,NA,"10","Sat",2012-10-27,NA,"Montpellier",3,"Nice",1,NA,"Stade de la Mosson et du Mondial 98","Benoît Bastien",NA,"https://fbref.com/en/matches/8954e050/Montpellier-Nice-October-27-2012-Ligue-1",NA,NA
"16","Ligue 1","M","FRA",2013,NA,"10","Sat",2012-10-27,NA,"Lille",2,"Valenciennes",1,NA,"Stade Pierre Mauroy","Fredy Fautrel",NA,"https://fbref.com/en/matches/a565191d/Lille-Valenciennes-October-27-2012-Ligue-1",NA,NA
"17","Ligue 1","M","FRA",2013,NA,"10","Sun",2012-10-28,NA,"Lorient",4,"Ajaccio",4,NA,"Stade Yves Allainmat","Jean-Charles Cailleux",NA,"https://fbref.com/en/matches/252d89c4/Lorient-Ajaccio-October-28-2012-Ligue-1",NA,NA
"18","Ligue 1","M","FRA",2013,NA,"10","Sun",2012-10-28,NA,"Bastia",3,"Bordeaux",1,NA,"Stade Armand Cesari","Sébastien Moreira",NA,"https://fbref.com/en/matches/5f571eeb/Bastia-Bordeaux-October-28-2012-Ligue-1",NA,NA
"19","Ligue 1","M","FRA",2013,NA,"10","Wed",2012-11-07,NA,"Sochaux",2,"Evian",1,NA,"Stade Bonal","Laurent Duhamel",NA,"https://fbref.com/en/matches/4d2c979a/Sochaux-Evian-November-7-2012-Ligue-1",NA,NA
"20","Ligue 1","M","FRA",2013,NA,"10","Wed",2012-11-28,NA,"Marseille",1,"Lyon",4,NA,"Stade Vélodrome","Clément Turpin",NA,"https://fbref.com/en/matches/2af6f69f/Choc-des-Olympiques-Marseille-Lyon-November-28-2012-Ligue-1",NA,NA
"21","Ligue 1","M","FRA",2013,NA,"11","Fri",2012-11-02,NA,"Brest",2,"Lorient",0,NA,"Stade Francis","Tony Chapron",NA,"https://fbref.com/en/matches/1404d28b/Brest-Lorient-November-2-2012-Ligue-1",NA,NA
