"","Date","Time","Home","Away"
"1",2023-10-27,"21:00","Clermont Foot","Nice"
"2",2023-10-28,"17:00","Reims","Lorient"
"3",2023-10-28,"21:00","Lens","Nantes"
"4",2023-10-29,"13:00","Brest","Paris S-G"
"5",2023-10-29,"15:00","Metz","Le Havre"
"6",2023-10-29,"15:00","Montpellier","Toulouse"
"7",2023-10-29,"15:00","Lille","Monaco"
"8",2023-10-29,"17:05","Rennes","Strasbourg"
"9",2023-10-29,"20:45","Marseille","Lyon"
"10",2023-11-05,"","Lorient","Lens"
"11",2023-11-05,"","Paris S-G","Montpellier"
"12",2023-11-05,"","Strasbourg","Clermont Foot"
"13",2023-11-05,"","Nantes","Reims"
"14",2023-11-05,"","Marseille","Lille"
"15",2023-11-05,"","Lyon","Metz"
"16",2023-11-05,"","Monaco","Brest"
"17",2023-11-05,"","Toulouse","Le Havre"
"18",2023-11-05,"","Nice","Rennes"
"19",2023-11-12,"","Rennes","Lyon"
"20",2023-11-12,"","Brest","Strasbourg"
"21",2023-11-12,"","Metz","Nantes"
"22",2023-11-12,"","Montpellier","Nice"
"23",2023-11-12,"","Reims","Paris S-G"
"24",2023-11-12,"","Le Havre","Monaco"
"25",2023-11-12,"","Clermont Foot","Lorient"
"26",2023-11-12,"","Lille","Toulouse"
"27",2023-11-12,"20:45","Lens","Marseille"
"28",2023-11-26,"","Rennes","Reims"
"29",2023-11-26,"","Lyon","Lille"
"30",2023-11-26,"","Strasbourg","Marseille"
"31",2023-11-26,"","Clermont Foot","Lens"
"32",2023-11-26,"","Lorient","Metz"
"33",2023-11-26,"","Nice","Toulouse"
"34",2023-11-26,"","Paris S-G","Monaco"
"35",2023-11-26,"","Montpellier","Brest"
"36",2023-11-26,"","Nantes","Le Havre"
"37",2023-12-03,"","Monaco","Montpellier"
"38",2023-12-03,"","Lille","Metz"
"39",2023-12-03,"","Toulouse","Lorient"
"40",2023-12-03,"","Lens","Lyon"
"41",2023-12-03,"","Brest","Clermont Foot"
"42",2023-12-03,"","Reims","Strasbourg"
"43",2023-12-03,"","Nantes","Nice"
"44",2023-12-03,"","Le Havre","Paris S-G"
"45",2023-12-03,"","Marseille","Rennes"
"46",2023-12-10,"","Lyon","Toulouse"
"47",2023-12-10,"","Nice","Reims"
"48",2023-12-10,"","Paris S-G","Nantes"
"49",2023-12-10,"","Lorient","Marseille"
"50",2023-12-10,"","Montpellier","Lens"
"51",2023-12-10,"","Clermont Foot","Lille"
"52",2023-12-10,"","Strasbourg","Le Havre"
"53",2023-12-10,"","Metz","Brest"
"54",2023-12-10,"","Rennes","Monaco"
"55",2023-12-17,"","Nantes","Brest"
"56",2023-12-17,"","Lille","Paris S-G"
"57",2023-12-17,"","Lens","Reims"
"58",2023-12-17,"","Toulouse","Rennes"
"59",2023-12-17,"","Le Havre","Nice"
"60",2023-12-17,"","Marseille","Clermont Foot"
"61",2023-12-17,"","Metz","Montpellier"
"62",2023-12-17,"","Lorient","Strasbourg"
"63",2023-12-17,"","Monaco","Lyon"
"64",2023-12-20,"","Brest","Lorient"
"65",2023-12-20,"","Clermont Foot","Rennes"
"66",2023-12-20,"","Lyon","Nantes"
"67",2023-12-20,"","Nice","Lens"
"68",2023-12-20,"","Reims","Le Havre"
"69",2023-12-20,"","Toulouse","Monaco"
"70",2023-12-20,"","Montpellier","Marseille"
"71",2023-12-20,"","Strasbourg","Lille"
"72",2023-12-20,"","Paris S-G","Metz"
"73",2024-01-13,"","Lille","Lorient"
"74",2024-01-13,"","Marseille","Strasbourg"
"75",2024-01-13,"","Rennes","Nice"
"76",2024-01-13,"","Monaco","Reims"
"77",2024-01-13,"","Brest","Montpellier"
"78",2024-01-13,"","Metz","Toulouse"
"79",2024-01-13,"","Le Havre","Lyon"
"80",2024-01-13,"","Nantes","Clermont Foot"
"81",2024-01-14,"","Lens","Paris S-G"
"82",2024-01-28,"","Marseille","Monaco"
"83",2024-01-28,"","Clermont Foot","Strasbourg"
"84",2024-01-28,"","Toulouse","Lens"
"85",2024-01-28,"","Nice","Metz"
"86",2024-01-28,"","Montpellier","Lille"
"87",2024-01-28,"","Paris S-G","Brest"
"88",2024-01-28,"","Lyon","Rennes"
"89",2024-01-28,"","Lorient","Le Havre"
"90",2024-01-28,"","Reims","Nantes"
