"","Date","Home","Away","HomeGoals","AwayGoals"
"983",2012-12-08,"RKC Waalwijk","NEC Nijmegen",2,0
"984",2012-12-08,"Ajax","Groningen",2,0
"985",2012-12-08,"AZ Alkmaar","Willem II",0,0
"986",2012-12-08,"ADO Den Haag","Zwolle",1,1
"987",2012-12-09,"VVV-Venlo","Vitesse",3,1
"988",2012-12-09,"NAC Breda","Feyenoord",2,2
"989",2012-12-09,"Heerenveen","Roda JC",4,4
"990",2012-12-09,"PSV Eindhoven","Twente",3,0
"991",2012-12-14,"Twente","Heracles Almelo",3,2
"992",2012-12-15,"Zwolle","AZ Alkmaar",1,2
"993",2012-12-15,"Groningen","VVV-Venlo",0,0
"994",2012-12-15,"NEC Nijmegen","PSV Eindhoven",1,1
"995",2012-12-15,"Roda JC","NAC Breda",0,0
"996",2012-12-16,"Utrecht","Heerenveen",3,1
"997",2012-12-16,"Feyenoord","ADO Den Haag",3,2
"998",2012-12-16,"Vitesse","RKC Waalwijk",2,2
"999",2012-12-16,"Willem II","Ajax",2,4
"1000",2012-12-21,"AZ Alkmaar","Twente",0,3
"1001",2012-12-22,"Heracles Almelo","Zwolle",1,1
"1002",2012-12-22,"ADO Den Haag","NEC Nijmegen",2,0
"1003",2012-12-22,"NAC Breda","PSV Eindhoven",1,6
"1004",2012-12-22,"Heerenveen","Vitesse",2,1
"1005",2012-12-23,"Feyenoord","Groningen",2,1
"1006",2012-12-23,"RKC Waalwijk","Willem II",0,0
"1007",2012-12-23,"VVV-Venlo","Roda JC",2,4
"1008",2012-12-23,"Utrecht","Ajax",0,0
"1009",2013-01-18,"PSV Eindhoven","Zwolle",1,3
"1010",2013-01-19,"Heerenveen","Heracles Almelo",0,1
"1011",2013-01-19,"Twente","RKC Waalwijk",0,0
"1012",2013-01-19,"NAC Breda","VVV-Venlo",1,0
"1013",2013-01-19,"AZ Alkmaar","Vitesse",4,1
"1014",2013-01-20,"Groningen","Utrecht",0,2
"1015",2013-01-20,"Willem II","ADO Den Haag",1,1
"1016",2013-01-20,"Ajax","Feyenoord",3,0
"1017",2013-01-20,"Roda JC","NEC Nijmegen",2,0
"1018",2012-08-18,"VVV-Venlo","Utrecht",1,3
"1019",2012-08-18,"PSV Eindhoven","Roda JC",5,0
"1020",2012-08-18,"Zwolle","Vitesse",0,1
"1021",2012-08-18,"NAC Breda","Twente",0,1
"1022",2012-08-18,"Feyenoord","Heerenveen",1,1
"1023",2012-08-19,"ADO Den Haag","RKC Waalwijk",2,2
"1024",2012-08-19,"NEC Nijmegen","Ajax",1,6
"1025",2012-08-19,"Groningen","Willem II",1,1
"1026",2012-08-19,"AZ Alkmaar","Heracles Almelo",3,1
"1027",2013-01-25,"VVV-Venlo","AZ Alkmaar",1,4
"1028",2013-01-26,"Heracles Almelo","PSV Eindhoven",1,5
"1029",2013-01-26,"Zwolle","Heerenveen",1,1
"1030",2013-01-26,"ADO Den Haag","Roda JC",2,2
"1031",2013-01-26,"RKC Waalwijk","NAC Breda",0,4
"1032",2013-01-27,"NEC Nijmegen","Groningen",2,1
"1033",2013-01-27,"Feyenoord","Twente",0,0
"1034",2013-01-27,"Utrecht","Willem II",3,1
"1035",2013-01-27,"Vitesse","Ajax",3,2
"1036",2013-02-01,"RKC Waalwijk","Heerenveen",0,1
"1037",2013-02-02,"AZ Alkmaar","Groningen",0,1
"1038",2013-02-02,"PSV Eindhoven","ADO Den Haag",7,0
"1039",2013-02-02,"NAC Breda","Zwolle",3,0
"1040",2013-02-02,"Roda JC","Heracles Almelo",3,3
"1041",2013-02-03,"VVV-Venlo","Ajax",0,3
"1042",2013-02-03,"Willem II","Feyenoord",1,3
"1043",2013-02-03,"NEC Nijmegen","Vitesse",2,1
"1044",2013-02-03,"Twente","Utrecht",2,4
"1045",2013-02-09,"Groningen","RKC Waalwijk",2,1
"1046",2013-02-09,"Heracles Almelo","Willem II",4,1
"1047",2013-02-09,"Heerenveen","VVV-Venlo",2,2
"1048",2013-02-09,"Vitesse","PSV Eindhoven",2,2
"1049",2013-02-09,"ADO Den Haag","NAC Breda",2,1
"1050",2013-02-10,"Zwolle","Twente",1,1
"1051",2013-02-10,"Feyenoord","AZ Alkmaar",3,1
"1052",2013-02-10,"Ajax","Roda JC",1,1
"1053",2013-02-10,"Utrecht","NEC Nijmegen",0,3
"1054",2013-02-15,"NEC Nijmegen","VVV-Venlo",1,2
"1055",2013-02-16,"Twente","Willem II",1,1
"1056",2013-02-16,"NAC Breda","Heracles Almelo",1,1
"1057",2013-02-16,"Roda JC","AZ Alkmaar",2,2
"1058",2013-02-16,"PSV Eindhoven","Utrecht",2,1
"1059",2013-02-17,"Zwolle","Feyenoord",3,2
"1060",2013-02-17,"ADO Den Haag","Heerenveen",2,1
"1061",2013-02-17,"RKC Waalwijk","Ajax",0,2
"1062",2013-02-17,"Vitesse","Groningen",2,0
"1063",2013-02-22,"Willem II","NEC Nijmegen",2,3
"1064",2013-02-23,"Heracles Almelo","Vitesse",3,5
"1065",2013-02-23,"Groningen","Zwolle",1,0
"1066",2013-02-23,"Heerenveen","Twente",2,1
"1067",2013-02-23,"VVV-Venlo","RKC Waalwijk",1,0
"1068",2013-02-24,"Ajax","ADO Den Haag",1,1
"1069",2013-02-24,"Feyenoord","PSV Eindhoven",2,1
"1070",2013-02-24,"AZ Alkmaar","NAC Breda",0,1
"1071",2013-02-24,"Utrecht","Roda JC",4,0
"1072",2013-03-01,"Vitesse","Utrecht",2,0
"1073",2013-03-02,"Zwolle","Willem II",2,0
"1074",2013-03-02,"PSV Eindhoven","VVV-Venlo",2,0
"1075",2013-03-02,"Twente","Ajax",0,2
"1076",2013-03-02,"NAC Breda","Heerenveen",1,2
"1077",2013-03-03,"ADO Den Haag","Heracles Almelo",3,1
"1078",2013-03-03,"RKC Waalwijk","AZ Alkmaar",2,1
"1079",2013-03-03,"Roda JC","Groningen",4,1
"1080",2013-03-03,"NEC Nijmegen","Feyenoord",0,3
"1081",2013-03-08,"Groningen","NAC Breda",1,1
"1082",2013-03-09,"Heracles Almelo","NEC Nijmegen",1,0
"1083",2013-03-09,"AZ Alkmaar","ADO Den Haag",1,1
"1084",2013-03-09,"Willem II","VVV-Venlo",1,0
"1085",2013-03-09,"Heerenveen","PSV Eindhoven",2,1
"1086",2013-03-10,"Twente","Vitesse",0,1
"1087",2013-03-10,"Roda JC","Feyenoord",0,1
"1088",2013-03-10,"Ajax","Zwolle",3,0
"1089",2013-03-10,"Utrecht","RKC Waalwijk",1,0
"1090",2013-03-15,"Zwolle","Roda JC",3,2
"1091",2013-03-16,"PSV Eindhoven","RKC Waalwijk",2,0
"1092",2013-03-16,"VVV-Venlo","Heracles Almelo",0,2
"1093",2013-03-16,"ADO Den Haag","Vitesse",0,4
"1094",2013-03-16,"NEC Nijmegen","Heerenveen",1,3
"1095",2013-03-17,"AZ Alkmaar","Ajax",2,3
"1096",2013-03-17,"NAC Breda","Willem II",4,0
"1097",2013-03-17,"Feyenoord","Utrecht",2,1
"1098",2013-03-17,"Groningen","Twente",0,3
"1099",2013-03-30,"Willem II","Groningen",1,2
"1100",2013-03-30,"Heerenveen","Feyenoord",2,0
"1101",2013-03-30,"Utrecht","VVV-Venlo",2,1
"1102",2013-03-30,"Twente","NAC Breda",1,1
"1103",2013-03-31,"Roda JC","PSV Eindhoven",2,2
"1104",2013-03-31,"Heracles Almelo","AZ Alkmaar",1,2
"1105",2013-03-31,"Vitesse","Zwolle",2,1
"1106",2013-03-31,"RKC Waalwijk","ADO Den Haag",4,0
"1107",2013-03-31,"Ajax","NEC Nijmegen",4,1
"1108",2013-04-05,"Feyenoord","VVV-Venlo",1,0
"1109",2013-04-06,"Willem II","PSV Eindhoven",1,3
"1110",2013-04-06,"Twente","Roda JC",2,0
"1111",2013-04-06,"Zwolle","RKC Waalwijk",1,1
"1112",2013-04-06,"Vitesse","NAC Breda",3,0
"1113",2013-04-07,"Groningen","Heerenveen",3,1
"1114",2013-04-07,"Ajax","Heracles Almelo",4,0
"1115",2013-04-07,"Utrecht","ADO Den Haag",1,0
"1116",2013-04-07,"NEC Nijmegen","AZ Alkmaar",1,1
"1117",2012-08-24,"RKC Waalwijk","Roda JC",1,0
"1118",2012-08-25,"Ajax","NAC Breda",5,0
"1119",2012-08-25,"Utrecht","Zwolle",1,1
"1120",2012-08-25,"VVV-Venlo","ADO Den Haag",2,4
"1121",2012-08-26,"AZ Alkmaar","Heerenveen",0,0
"1122",2012-08-26,"Groningen","PSV Eindhoven",1,3
"1123",2012-08-26,"Heracles Almelo","Feyenoord",1,2
"1124",2012-08-26,"Willem II","Vitesse",0,2
"1125",2012-08-26,"NEC Nijmegen","Twente",1,3
"1126",2013-04-12,"VVV-Venlo","Zwolle",0,2
"1127",2013-04-13,"Heracles Almelo","Groningen",0,2
"1128",2013-04-13,"NAC Breda","NEC Nijmegen",2,0
"1129",2013-04-13,"Roda JC","Vitesse",3,3
"1130",2013-04-13,"ADO Den Haag","Twente",1,3
"1131",2013-04-14,"AZ Alkmaar","Utrecht",6,0
"1132",2013-04-14,"RKC Waalwijk","Feyenoord",1,1
"1133",2013-04-14,"Heerenveen","Willem II",3,2
"1134",2013-04-14,"PSV Eindhoven","Ajax",2,3
"1135",2013-04-19,"Ajax","Heerenveen",1,1
"1136",2013-04-20,"Heracles Almelo","RKC Waalwijk",4,0
"1137",2013-04-20,"Willem II","Roda JC",2,1
"1138",2013-04-20,"Groningen","ADO Den Haag",2,1
"1139",2013-04-20,"AZ Alkmaar","PSV Eindhoven",1,3
"1140",2013-04-21,"NEC Nijmegen","Zwolle",1,3
"1141",2013-04-21,"VVV-Venlo","Twente",2,2
"1142",2013-04-21,"Utrecht","NAC Breda",3,0
"1143",2013-04-21,"Feyenoord","Vitesse",2,0
"1144",2013-04-26,"Heerenveen","AZ Alkmaar",0,4
"1145",2013-04-27,"PSV Eindhoven","Groningen",5,2
"1146",2013-04-27,"NAC Breda","Ajax",0,2
"1147",2013-04-27,"Roda JC","RKC Waalwijk",3,1
"1148",2013-04-27,"ADO Den Haag","VVV-Venlo",1,1
"1149",2013-04-28,"Twente","NEC Nijmegen",5,2
"1150",2013-04-28,"Zwolle","Utrecht",1,2
"1151",2013-04-28,"Vitesse","Willem II",3,1
"1152",2013-04-28,"Feyenoord","Heracles Almelo",6,0
"1153",2013-05-05,"Heracles Almelo","Twente",1,1
"1154",2013-05-05,"NAC Breda","Roda JC",5,3
"1155",2013-05-05,"RKC Waalwijk","Vitesse",3,2
"1156",2013-05-05,"VVV-Venlo","Groningen",0,0
"1157",2013-05-05,"Ajax","Willem II",5,0
"1158",2013-05-05,"PSV Eindhoven","NEC Nijmegen",4,2
"1159",2013-05-05,"Heerenveen","Utrecht",2,4
"1160",2013-05-05,"ADO Den Haag","Feyenoord",2,0
"1161",2013-05-05,"AZ Alkmaar","Zwolle",4,0
"1162",2013-05-12,"Roda JC","Heerenveen",1,0
"1163",2013-05-12,"Twente","PSV Eindhoven",3,1
"1164",2013-05-12,"Vitesse","VVV-Venlo",0,1
"1165",2013-05-12,"Zwolle","ADO Den Haag",4,2
"1166",2013-05-12,"Groningen","Ajax",0,2
"1167",2013-05-12,"NEC Nijmegen","RKC Waalwijk",1,2
"1168",2013-05-12,"Feyenoord","NAC Breda",1,0
"1169",2013-05-12,"Utrecht","Heracles Almelo",3,0
"1170",2013-05-12,"Willem II","AZ Alkmaar",2,0
"1171",2012-08-31,"ADO Den Haag","Groningen",0,1
"1172",2012-09-01,"Zwolle","NEC Nijmegen",0,4
"1173",2012-09-01,"RKC Waalwijk","Heracles Almelo",1,1
"1174",2012-09-01,"NAC Breda","Utrecht",1,1
"1175",2012-09-01,"Roda JC","Willem II",3,0
"1176",2012-09-02,"PSV Eindhoven","AZ Alkmaar",5,1
"1177",2012-09-02,"Twente","VVV-Venlo",1,0
"1178",2012-09-02,"Heerenveen","Ajax",2,2
"1179",2012-09-02,"Vitesse","Feyenoord",1,0
"1180",2012-09-15,"Heerenveen","ADO Den Haag",1,3
"1181",2012-09-15,"Ajax","RKC Waalwijk",2,0
"1182",2012-09-15,"Willem II","Twente",2,6
"1183",2012-09-15,"Feyenoord","Zwolle",2,0
"1184",2012-09-15,"VVV-Venlo","NEC Nijmegen",2,2
"1185",2012-09-16,"Groningen","Vitesse",0,3
"1186",2012-09-16,"Heracles Almelo","NAC Breda",2,1
"1187",2012-09-16,"Utrecht","PSV Eindhoven",1,0
"1188",2012-09-16,"AZ Alkmaar","Roda JC",4,0
"1189",2012-09-21,"Roda JC","Utrecht",0,1
"1190",2012-09-22,"Vitesse","Heracles Almelo",1,1
"1191",2012-09-22,"Zwolle","Groningen",1,2
"1192",2012-09-22,"RKC Waalwijk","VVV-Venlo",1,1
"1193",2012-09-22,"NEC Nijmegen","Willem II",0,0
"1194",2012-09-23,"NAC Breda","AZ Alkmaar",2,1
"1195",2012-09-23,"Twente","Heerenveen",1,0
"1196",2012-09-23,"PSV Eindhoven","Feyenoord",3,0
"1197",2012-09-23,"ADO Den Haag","Ajax",1,1
"1198",2012-09-29,"Utrecht","Vitesse",1,2
"1199",2012-09-29,"Ajax","Twente",1,0
"1200",2012-09-29,"Heracles Almelo","ADO Den Haag",3,3
"1201",2012-09-29,"Feyenoord","NEC Nijmegen",5,1
"1202",2012-09-29,"Heerenveen","NAC Breda",2,0
"1203",2012-09-30,"Groningen","Roda JC",3,2
"1204",2012-09-30,"Willem II","Zwolle",0,1
"1205",2012-09-30,"AZ Alkmaar","RKC Waalwijk",3,3
"1206",2012-09-30,"VVV-Venlo","PSV Eindhoven",0,6
"1207",2012-10-05,"NEC Nijmegen","ADO Den Haag",1,1
"1208",2012-10-06,"Willem II","RKC Waalwijk",1,0
"1209",2012-10-06,"Vitesse","Heerenveen",3,3
"1210",2012-10-06,"Roda JC","VVV-Venlo",3,0
"1211",2012-10-06,"Zwolle","Heracles Almelo",0,3
"1212",2012-10-07,"Ajax","Utrecht",1,1
"1213",2012-10-07,"Groningen","Feyenoord",2,2
"1214",2012-10-07,"Twente","AZ Alkmaar",3,0
"1215",2012-10-07,"PSV Eindhoven","NAC Breda",4,0
"1216",2012-10-20,"AZ Alkmaar","NEC Nijmegen",0,2
"1217",2012-10-20,"NAC Breda","Vitesse",0,3
"1218",2012-10-20,"Roda JC","Twente",1,1
"1219",2012-10-20,"PSV Eindhoven","Willem II",3,2
"1220",2012-10-20,"Heracles Almelo","Ajax",3,3
"1221",2012-10-21,"Heerenveen","Groningen",3,0
"1222",2012-10-21,"ADO Den Haag","Utrecht",1,2
"1223",2012-10-21,"VVV-Venlo","Feyenoord",2,3
"1224",2012-10-21,"RKC Waalwijk","Zwolle",1,2
"1225",2013-08-02,"Ajax","Roda JC",3,0
"1226",2013-08-03,"NEC Nijmegen","Groningen",1,4
"1227",2013-08-03,"Twente","RKC Waalwijk",0,0
"1228",2013-08-03,"Heerenveen","AZ Alkmaar",4,2
"1229",2013-08-03,"ADO Den Haag","PSV Eindhoven",2,3
"1230",2013-08-04,"Utrecht","Go Ahead Eag",1,1
"1231",2013-08-04,"Zwolle","Feyenoord",2,1
"1232",2013-08-04,"Cambuur","NAC Breda",0,0
"1233",2013-08-04,"Vitesse","Heracles Almelo",3,1
"1234",2013-10-19,"RKC Waalwijk","Roda JC",1,2
"1235",2013-10-19,"Heerenveen","Vitesse",2,3
"1236",2013-10-19,"Twente","Ajax",1,1
"1237",2013-10-19,"Go Ahead Eag","Feyenoord",2,2
"1238",2013-10-19,"Utrecht","NAC Breda",4,2
"1239",2013-10-20,"Zwolle","ADO Den Haag",6,1
"1240",2013-10-20,"Groningen","PSV Eindhoven",1,0
"1241",2013-10-20,"AZ Alkmaar","Cambuur",3,1
"1242",2013-10-20,"Heracles Almelo","NEC Nijmegen",1,1
"1243",2013-10-25,"NEC Nijmegen","Heerenveen",2,1
"1244",2013-10-26,"ADO Den Haag","Twente",3,2
"1245",2013-10-26,"NAC Breda","Go Ahead Eag",5,0
"1246",2013-10-26,"Cambuur","Utrecht",3,1
"1247",2013-10-26,"Ajax","RKC Waalwijk",0,0
"1248",2013-10-27,"Feyenoord","Heracles Almelo",1,2
"1249",2013-10-27,"Roda JC","PSV Eindhoven",2,1
"1250",2013-10-27,"Vitesse","Groningen",2,2
"1251",2013-10-27,"Zwolle","AZ Alkmaar",0,2
"1252",2013-11-01,"RKC Waalwijk","NAC Breda",3,0
"1253",2013-11-02,"AZ Alkmaar","ADO Den Haag",2,0
"1254",2013-11-02,"Twente","NEC Nijmegen",2,2
"1255",2013-11-02,"Ajax","Vitesse",0,1
"1256",2013-11-02,"PSV Eindhoven","Zwolle",1,1
"1257",2013-11-03,"Groningen","Roda JC",3,3
"1258",2013-11-03,"Utrecht","Heerenveen",2,0
"1259",2013-11-03,"Cambuur","Feyenoord",0,2
"1260",2013-12-04,"Go Ahead Eag","Heracles Almelo",1,1
"1261",2013-11-08,"Heerenveen","RKC Waalwijk",5,2
"1262",2013-11-09,"ADO Den Haag","Cambuur",3,0
"1263",2013-11-09,"Heracles Almelo","Groningen",0,3
"1264",2013-11-09,"Roda JC","Go Ahead Eag",1,4
"1265",2013-11-09,"Vitesse","Utrecht",3,1
"1266",2013-11-10,"Zwolle","Twente",1,1
"1267",2013-11-10,"NEC Nijmegen","Ajax",0,3
"1268",2013-11-10,"Feyenoord","AZ Alkmaar",2,2
"1269",2013-11-10,"NAC Breda","PSV Eindhoven",2,1
"1270",2013-11-23,"PSV Eindhoven","Heerenveen",1,1
"1271",2013-11-23,"Ajax","Heracles Almelo",3,0
"1272",2013-11-23,"AZ Alkmaar","Roda JC",2,2
"1273",2013-11-23,"Cambuur","NEC Nijmegen",2,1
"1274",2013-11-24,"Groningen","Zwolle",0,0
"1275",2013-11-24,"Utrecht","ADO Den Haag",3,0
"1276",2013-11-24,"Go Ahead Eag","Vitesse",0,3
"1277",2013-11-24,"RKC Waalwijk","Feyenoord",1,0
"1278",2013-11-24,"Twente","NAC Breda",5,2
"1279",2013-11-29,"Roda JC","Twente",1,2
"1280",2013-11-30,"Heracles Almelo","Utrecht",1,2
"1281",2013-11-30,"NAC Breda","Groningen",2,2
"1282",2013-11-30,"Zwolle","RKC Waalwijk",1,1
"1283",2013-11-30,"Heerenveen","Go Ahead Eag",3,1
"1284",2013-12-01,"ADO Den Haag","Ajax",0,4
"1285",2013-12-01,"Vitesse","Cambuur",3,0
"1286",2013-12-01,"Feyenoord","PSV Eindhoven",3,1
"1287",2013-12-01,"NEC Nijmegen","AZ Alkmaar",3,2
"1288",2013-12-06,"Utrecht","NEC Nijmegen",2,0
"1289",2013-12-07,"AZ Alkmaar","Twente",1,2
"1290",2013-12-07,"PSV Eindhoven","Vitesse",2,6
"1291",2013-12-07,"Ajax","NAC Breda",4,0
"1292",2013-12-07,"RKC Waalwijk","Cambuur",2,2
"1293",2013-12-08,"Go Ahead Eag","Zwolle",4,1
"1294",2013-12-08,"Heerenveen","Feyenoord",1,2
"1295",2013-12-08,"Roda JC","Heracles Almelo",1,3
"1296",2013-12-08,"Groningen","ADO Den Haag",1,2
"1297",2013-12-13,"Zwolle","Heerenveen",1,2
"1298",2013-12-14,"Twente","Go Ahead Eag",3,1
"1299",2013-12-14,"ADO Den Haag","RKC Waalwijk",1,2
"1300",2013-12-14,"NEC Nijmegen","Roda JC",4,3
"1301",2013-12-15,"Feyenoord","Groningen",1,0
"1302",2013-12-15,"Heracles Almelo","AZ Alkmaar",2,0
"1303",2013-12-15,"Utrecht","PSV Eindhoven",1,5
"1304",2013-12-15,"Cambuur","Ajax",1,2
"1305",2013-12-15,"Vitesse","NAC Breda",3,2
"1306",2013-12-20,"RKC Waalwijk","Twente",1,1
"1307",2013-12-21,"Feyenoord","Zwolle",3,0
"1308",2013-12-21,"NAC Breda","Cambuur",1,0
"1309",2013-12-21,"AZ Alkmaar","Heerenveen",1,5
"1310",2013-12-21,"Heracles Almelo","Vitesse",2,2
"1311",2013-12-22,"PSV Eindhoven","ADO Den Haag",2,0
"1312",2013-12-22,"Roda JC","Ajax",1,2
"1313",2013-12-22,"Go Ahead Eag","Utrecht",2,1
"1314",2013-12-22,"Groningen","NEC Nijmegen",5,2
"1315",2014-01-17,"Twente","Heracles Almelo",3,1
"1316",2014-01-18,"AZ Alkmaar","NAC Breda",3,0
"1317",2014-01-18,"Heerenveen","Roda JC",2,2
"1318",2014-01-18,"Zwolle","Vitesse",1,2
"1319",2014-01-18,"RKC Waalwijk","Groningen",1,1
"1320",2014-01-19,"Cambuur","Go Ahead Eag",2,0
"1321",2014-01-19,"NEC Nijmegen","ADO Den Haag",3,1
"1322",2014-01-19,"Utrecht","Feyenoord",2,5
"1323",2014-01-19,"Ajax","PSV Eindhoven",1,0
"1324",2013-08-09,"Roda JC","Cambuur",2,0
"1325",2013-08-10,"Heracles Almelo","Zwolle",1,3
"1326",2013-08-10,"PSV Eindhoven","NEC Nijmegen",5,0
"1327",2013-08-10,"NAC Breda","Heerenveen",0,2
"1328",2013-08-10,"Go Ahead Eag","ADO Den Haag",2,1
"1329",2013-08-11,"RKC Waalwijk","Vitesse",4,2
"1330",2013-08-11,"AZ Alkmaar","Ajax",3,2
"1331",2013-08-11,"Groningen","Utrecht",2,0
"1332",2013-08-11,"Feyenoord","Twente",1,4
"1333",2014-01-24,"Heracles Almelo","RKC Waalwijk",2,1
"1334",2014-01-25,"PSV Eindhoven","AZ Alkmaar",1,0
"1335",2014-01-25,"ADO Den Haag","Feyenoord",3,2
"1336",2014-01-25,"Roda JC","Utrecht",1,0
"1337",2014-01-25,"NAC Breda","Zwolle",1,2
"1338",2014-01-26,"Go Ahead Eag","Ajax",0,1
"1339",2014-01-26,"Cambuur","Heerenveen",3,1
"1340",2014-01-26,"Vitesse","NEC Nijmegen",1,1
"1341",2014-02-12,"Groningen","Twente",1,1
"1342",2014-01-31,"Feyenoord","Vitesse",1,1
"1343",2014-02-01,"Zwolle","Roda JC",3,1
"1344",2014-02-01,"Heracles Almelo","NAC Breda",1,2
"1345",2014-02-01,"AZ Alkmaar","Groningen",2,0
"1346",2014-02-01,"Heerenveen","ADO Den Haag",3,0
"1347",2014-02-02,"Utrecht","Ajax",1,1
"1348",2014-02-02,"NEC Nijmegen","Go Ahead Eag",1,1
"1349",2014-02-02,"RKC Waalwijk","PSV Eindhoven",2,0
"1350",2014-02-02,"Twente","Cambuur",3,1
"1351",2014-02-04,"ADO Den Haag","Heracles Almelo",0,3
"1352",2014-02-04,"Vitesse","AZ Alkmaar",0,2
"1353",2014-02-04,"Roda JC","Feyenoord",1,2
"1354",2014-02-05,"Cambuur","PSV Eindhoven",1,2
"1355",2014-02-05,"Go Ahead Eag","RKC Waalwijk",2,2
"1356",2014-02-05,"Heerenveen","Twente",0,2
"1357",2014-02-05,"NEC Nijmegen","NAC Breda",1,1
"1358",2014-02-06,"Utrecht","Zwolle",1,2
"1359",2014-02-06,"Ajax","Groningen",2,1
"1360",2014-02-07,"Vitesse","ADO Den Haag",0,0
"1361",2014-02-08,"PSV Eindhoven","Twente",3,2
"1362",2014-02-08,"Feyenoord","NEC Nijmegen",5,1
"1363",2014-02-08,"Go Ahead Eag","AZ Alkmaar",2,1
"1364",2014-02-08,"NAC Breda","Roda JC",2,0
"1365",2014-02-09,"Zwolle","Ajax",1,1
"1366",2014-02-09,"Heracles Almelo","Cambuur",1,1
"1367",2014-02-09,"Groningen","Heerenveen",1,3
"1368",2014-02-09,"RKC Waalwijk","Utrecht",5,2
"1369",2014-02-14,"PSV Eindhoven","Heracles Almelo",2,1
"1370",2014-02-15,"AZ Alkmaar","Utrecht",1,1
"1371",2014-02-15,"Twente","Vitesse",2,0
"1372",2014-02-15,"RKC Waalwijk","NEC Nijmegen",1,3
"1373",2014-02-15,"Roda JC","ADO Den Haag",0,1
"1374",2014-02-16,"Ajax","Heerenveen",3,0
"1375",2014-02-16,"NAC Breda","Feyenoord",1,1
"1376",2014-02-16,"Cambuur","Zwolle",3,1
"1377",2014-02-16,"Groningen","Go Ahead Eag",1,0
"1378",2014-02-21,"ADO Den Haag","Go Ahead Eag",3,2
"1379",2014-02-22,"Cambuur","Roda JC",1,0
"1380",2014-02-22,"NEC Nijmegen","PSV Eindhoven",0,2
"1381",2014-02-22,"Heerenveen","NAC Breda",0,0
"1382",2014-02-22,"Zwolle","Heracles Almelo",1,1
"1383",2014-02-23,"Ajax","AZ Alkmaar",4,0
"1384",2014-02-23,"Twente","Feyenoord",2,2
"1385",2014-02-23,"Utrecht","Groningen",1,0
"1386",2014-02-23,"Vitesse","RKC Waalwijk",3,1
"1387",2014-02-28,"Heracles Almelo","Heerenveen",1,2
"1388",2014-03-01,"Go Ahead Eag","PSV Eindhoven",2,3
"1389",2014-03-01,"ADO Den Haag","NAC Breda",1,1
"1390",2014-03-01,"Vitesse","Roda JC",3,0
"1391",2014-03-01,"Zwolle","NEC Nijmegen",3,3
"1392",2014-03-02,"Groningen","Cambuur",1,1
"1393",2014-03-02,"Utrecht","Twente",1,1
"1394",2014-03-02,"AZ Alkmaar","RKC Waalwijk",4,0
"1395",2014-03-02,"Feyenoord","Ajax",1,2
"1396",2014-03-08,"NAC Breda","Vitesse",1,2
"1397",2014-03-08,"PSV Eindhoven","Utrecht",1,0
"1398",2014-03-08,"Heerenveen","Zwolle",3,0
"1399",2014-03-08,"AZ Alkmaar","Heracles Almelo",4,0
"1400",2014-03-08,"Roda JC","NEC Nijmegen",3,1
"1401",2014-03-09,"RKC Waalwijk","ADO Den Haag",1,1
"1402",2014-03-09,"Go Ahead Eag","Twente",1,0
"1403",2014-03-09,"Ajax","Cambuur",1,1
"1404",2014-03-09,"Groningen","Feyenoord",0,2
"1405",2014-03-14,"Cambuur","RKC Waalwijk",3,2
"1406",2014-03-15,"Vitesse","PSV Eindhoven",1,2
"1407",2014-03-15,"Heracles Almelo","Roda JC",2,1
"1408",2014-03-15,"ADO Den Haag","Groningen",2,1
"1409",2014-03-16,"Feyenoord","Heerenveen",2,0
"1410",2014-03-16,"NAC Breda","Ajax",0,0
"1411",2014-03-16,"Twente","AZ Alkmaar",2,1
"1412",2014-03-16,"Zwolle","Go Ahead Eag",2,0
"1413",2014-03-16,"NEC Nijmegen","Utrecht",2,2
"1414",2014-03-22,"Heerenveen","NEC Nijmegen",2,2
"1415",2014-03-22,"Groningen","Vitesse",3,1
"1416",2014-03-22,"PSV Eindhoven","Roda JC",3,1
"1417",2014-03-23,"AZ Alkmaar","Zwolle",2,1
"1418",2014-04-02,"Heracles Almelo","Feyenoord",1,2
"1419",2014-04-02,"RKC Waalwijk","Ajax",0,2
"1420",2014-04-02,"Go Ahead Eag","NAC Breda",2,1
"1421",2014-04-02,"Twente","ADO Den Haag",1,1
"1422",2014-04-02,"Utrecht","Cambuur",1,0
"1423",2013-08-17,"Cambuur","Groningen",4,1
"1424",2013-08-17,"Roda JC","Vitesse",1,1
"1425",2013-08-17,"PSV Eindhoven","Go Ahead Eag",3,0
"1426",2013-08-17,"RKC Waalwijk","AZ Alkmaar",1,2
"1427",2013-08-17,"NEC Nijmegen","Zwolle",1,5
"1428",2013-08-18,"NAC Breda","ADO Den Haag",1,2
"1429",2013-08-18,"Twente","Utrecht",6,0
"1430",2013-08-18,"Ajax","Feyenoord",2,1
"1431",2013-08-18,"Heerenveen","Heracles Almelo",2,4
"1432",2014-03-28,"NAC Breda","Utrecht",2,2
"1433",2014-03-29,"NEC Nijmegen","Heracles Almelo",1,2
"1434",2014-03-29,"PSV Eindhoven","Groningen",2,3
"1435",2014-03-29,"Vitesse","Heerenveen",2,2
"1436",2014-03-30,"Roda JC","RKC Waalwijk",0,1
"1437",2014-03-30,"Feyenoord","Go Ahead Eag",5,0
"1438",2014-03-30,"ADO Den Haag","Zwolle",1,1
