"","Date","Home","Away","HomeGoals","AwayGoals"
"107",2009-08-09,"Twente","PSV Eindhoven",1,1
"108",2009-08-09,"NAC Breda","Heracles Almelo",0,0
"109",2010-01-29,"Willem II","RKC Waalwijk",2,1
"110",2010-01-30,"AZ Alkmaar","Groningen",0,1
"111",2010-01-30,"NAC Breda","VVV-Venlo",2,0
"112",2010-01-30,"ADO Den Haag","Heerenveen",2,1
"113",2010-01-30,"NEC Nijmegen","Sparta R'dam",1,0
"114",2010-01-31,"Feyenoord","Ajax",1,1
"115",2010-01-31,"Utrecht","Heracles Almelo",0,0
"116",2010-01-31,"Vitesse","PSV Eindhoven",0,0
"117",2010-01-31,"Twente","Roda JC",2,0
"118",2010-02-02,"VVV-Venlo","Heerenveen",3,1
"119",2010-02-02,"NAC Breda","AZ Alkmaar",1,1
"120",2010-02-03,"PSV Eindhoven","Utrecht",2,1
"121",2010-02-03,"Twente","Heracles Almelo",2,0
"122",2010-02-03,"Sparta R'dam","Vitesse",1,1
"123",2010-02-03,"Ajax","Roda JC",4,0
"124",2010-02-03,"Groningen","ADO Den Haag",2,0
"125",2010-02-04,"RKC Waalwijk","Feyenoord",0,1
"126",2010-02-17,"NEC Nijmegen","Willem II",2,1
"127",2010-02-05,"Willem II","NAC Breda",1,2
"128",2010-02-06,"Roda JC","Sparta R'dam",2,1
"129",2010-02-06,"PSV Eindhoven","ADO Den Haag",2,0
"130",2010-02-06,"Heracles Almelo","Groningen",4,3
"131",2010-02-06,"Heerenveen","Utrecht",2,0
"132",2010-02-07,"RKC Waalwijk","NEC Nijmegen",0,1
"133",2010-02-07,"VVV-Venlo","Vitesse",2,0
"134",2010-02-07,"Ajax","Twente",3,0
"135",2010-02-07,"Feyenoord","AZ Alkmaar",1,2
"136",2010-02-12,"NEC Nijmegen","NAC Breda",4,2
"137",2010-02-13,"AZ Alkmaar","Roda JC",2,0
"138",2010-02-13,"ADO Den Haag","Willem II",3,0
"139",2010-02-13,"Heerenveen","Ajax",0,2
"140",2010-02-13,"Vitesse","Twente",1,2
"141",2010-02-14,"Groningen","RKC Waalwijk",2,1
"142",2010-02-14,"Utrecht","Feyenoord",0,0
"143",2010-02-14,"Sparta R'dam","VVV-Venlo",2,0
"144",2010-02-14,"Heracles Almelo","PSV Eindhoven",0,1
"145",2010-02-19,"Roda JC","Heracles Almelo",2,1
"146",2010-02-20,"RKC Waalwijk","Heerenveen",1,2
"147",2010-02-20,"NAC Breda","Utrecht",0,2
"148",2010-02-20,"VVV-Venlo","AZ Alkmaar",3,3
"149",2010-02-20,"NEC Nijmegen","Groningen",0,2
"150",2010-02-21,"PSV Eindhoven","Sparta R'dam",1,1
"151",2010-02-21,"Twente","Willem II",1,0
