"","Date","Home","Away","HomeGoals","AwayGoals"
"1",2010-03-25,"Seattle","Philadelphia",2,0
"2",2010-03-26,"Chivas USA","Colorado Rapids",0,1
"3",2010-03-27,"NY Red Bulls","Chicago Fire",1,0
"4",2010-03-27,"FC Dallas","Houston Dynamo",1,1
"5",2010-03-27,"KC Wizards","D.C. United",4,0
"6",2010-03-27,"San Jose","Real Salt Lake",0,3
"7",2010-03-27,"Columbus Crew","Toronto FC",2,0
"8",2010-03-27,"LA Galaxy","New England",1,0
"9",2010-04-01,"Houston Dynamo","Real Salt Lake",2,1
"10",2010-04-01,"LA Galaxy","Chivas USA",2,0
"11",2010-04-03,"Seattle","NY Red Bulls",0,1
"12",2010-04-03,"Colorado Rapids","Chicago Fire",2,2
"13",2010-04-03,"D.C. United","New England",0,2
"14",2010-04-10,"FC Dallas","Columbus Crew",2,2
"15",2010-04-10,"KC Wizards","Colorado Rapids",1,0
"16",2010-04-10,"Real Salt Lake","Seattle",2,2
"17",2010-04-10,"Chicago Fire","San Jose",1,2
"18",2010-04-10,"Chivas USA","NY Red Bulls",2,0
"19",2010-04-10,"Houston Dynamo","LA Galaxy",0,2
"20",2010-04-10,"Philadelphia","D.C. United",3,2
"21",2010-04-10,"New England","Toronto FC",4,1
"22",2010-04-15,"Toronto FC","Philadelphia",2,1
"23",2010-04-17,"Houston Dynamo","Chivas USA",3,0
"24",2010-04-17,"D.C. United","Chicago Fire",0,2
"25",2010-04-17,"NY Red Bulls","FC Dallas",2,1
"26",2010-04-17,"San Jose","New England",2,0
"27",2010-04-17,"LA Galaxy","Real Salt Lake",2,1
"28",2010-04-17,"Seattle","KC Wizards",1,0
"29",2010-04-18,"Colorado Rapids","Toronto FC",3,1
"30",2010-04-22,"FC Dallas","Seattle",2,2
"31",2010-04-24,"Columbus Crew","Real Salt Lake",1,0
"32",2010-04-24,"NY Red Bulls","Philadelphia",2,1
"33",2010-04-24,"KC Wizards","LA Galaxy",0,0
"34",2010-04-24,"Chivas USA","San Jose",3,2
"35",2010-04-24,"Chicago Fire","Houston Dynamo",2,0
"36",2010-04-24,"New England","Colorado Rapids",1,2
"37",2010-04-25,"Toronto FC","Seattle",2,0
"38",2010-05-01,"Real Salt Lake","Toronto FC",2,1
"39",2010-05-01,"D.C. United","NY Red Bulls",0,2
"40",2010-05-01,"San Jose","Colorado Rapids",1,0
"41",2010-05-01,"Chicago Fire","Chivas USA",1,1
"42",2010-05-01,"New England","FC Dallas",1,1
"43",2010-05-01,"Houston Dynamo","KC Wizards",3,0
"44",2010-05-01,"LA Galaxy","Philadelphia",3,1
"45",2010-05-01,"Seattle","Columbus Crew",1,1
"46",2010-05-05,"D.C. United","KC Wizards",2,1
"47",2010-05-05,"New England","Chivas USA",0,4
