"","Date","Time","Home","Away"
"1",2023-11-04,"","Dortmund","Bayern Munich"
"2",2023-11-04,"","Mainz 05","RB Leipzig"
"3",2023-11-04,"","Heidenheim","Stuttgart"
"4",2023-11-04,"","Darmstadt 98","Bochum"
"5",2023-11-04,"","Freiburg","M'Gladbach"
"6",2023-11-04,"","Wolfsburg","Werder Bremen"
"7",2023-11-04,"","Köln","Augsburg"
"8",2023-11-04,"","Hoffenheim","Leverkusen"
"9",2023-11-04,"","Union Berlin","Eint Frankfurt"
"10",2023-11-11,"","M'Gladbach","Wolfsburg"
"11",2023-11-11,"","Augsburg","Hoffenheim"
"12",2023-11-11,"","Werder Bremen","Eint Frankfurt"
"13",2023-11-11,"","Stuttgart","Dortmund"
"14",2023-11-11,"","Bayern Munich","Heidenheim"
"15",2023-11-11,"","Bochum","Köln"
"16",2023-11-11,"","Leverkusen","Union Berlin"
"17",2023-11-11,"","Darmstadt 98","Mainz 05"
"18",2023-11-11,"","RB Leipzig","Freiburg"
"19",2023-11-25,"","Freiburg","Darmstadt 98"
"20",2023-11-25,"","Werder Bremen","Leverkusen"
"21",2023-11-25,"","Köln","Bayern Munich"
"22",2023-11-25,"","Eint Frankfurt","Stuttgart"
"23",2023-11-25,"","Wolfsburg","RB Leipzig"
"24",2023-11-25,"","Hoffenheim","Mainz 05"
"25",2023-11-25,"","Heidenheim","Bochum"
"26",2023-11-25,"","Union Berlin","Augsburg"
"27",2023-11-25,"","Dortmund","M'Gladbach"
"28",2023-12-02,"","RB Leipzig","Heidenheim"
"29",2023-12-02,"","Mainz 05","Freiburg"
"30",2023-12-02,"","Augsburg","Eint Frankfurt"
"31",2023-12-02,"","Bayern Munich","Union Berlin"
"32",2023-12-02,"","Stuttgart","Werder Bremen"
"33",2023-12-02,"","Darmstadt 98","Köln"
"34",2023-12-02,"","Leverkusen","Dortmund"
"35",2023-12-02,"","Bochum","Wolfsburg"
"36",2023-12-02,"","M'Gladbach","Hoffenheim"
"37",2023-12-09,"","Heidenheim","Darmstadt 98"
"38",2023-12-09,"","Eint Frankfurt","Bayern Munich"
"39",2023-12-09,"","Union Berlin","M'Gladbach"
"40",2023-12-09,"","Wolfsburg","Freiburg"
"41",2023-12-09,"","Stuttgart","Leverkusen"
"42",2023-12-09,"","Köln","Mainz 05"
"43",2023-12-09,"","Hoffenheim","Bochum"
"44",2023-12-09,"","Werder Bremen","Augsburg"
"45",2023-12-09,"","Dortmund","RB Leipzig"
"46",2023-12-16,"","M'Gladbach","Werder Bremen"
"47",2023-12-16,"","Darmstadt 98","Wolfsburg"
"48",2023-12-16,"","RB Leipzig","Hoffenheim"
"49",2023-12-16,"","Bochum","Union Berlin"
"50",2023-12-16,"","Leverkusen","Eint Frankfurt"
"51",2023-12-16,"","Freiburg","Köln"
"52",2023-12-16,"","Bayern Munich","Stuttgart"
"53",2023-12-16,"","Augsburg","Dortmund"
"54",2023-12-16,"","Mainz 05","Heidenheim"
"55",2023-12-20,"","Hoffenheim","Darmstadt 98"
"56",2023-12-20,"","Heidenheim","Freiburg"
"57",2023-12-20,"","Stuttgart","Augsburg"
"58",2023-12-20,"","Union Berlin","Köln"
"59",2023-12-20,"","Wolfsburg","Bayern Munich"
"60",2023-12-20,"","Leverkusen","Bochum"
"61",2023-12-20,"","Dortmund","Mainz 05"
"62",2023-12-20,"","Werder Bremen","RB Leipzig"
"63",2023-12-20,"","Eint Frankfurt","M'Gladbach"
"64",2024-01-13,"","RB Leipzig","Eint Frankfurt"
"65",2024-01-13,"","Freiburg","Union Berlin"
"66",2024-01-13,"","M'Gladbach","Stuttgart"
"67",2024-01-13,"","Bochum","Werder Bremen"
"68",2024-01-13,"","Darmstadt 98","Dortmund"
"69",2024-01-13,"","Augsburg","Leverkusen"
"70",2024-01-13,"","Bayern Munich","Hoffenheim"
"71",2024-01-13,"","Köln","Heidenheim"
"72",2024-01-13,"","Mainz 05","Wolfsburg"
"73",2024-01-20,"","Darmstadt 98","Eint Frankfurt"
"74",2024-01-20,"","Heidenheim","Wolfsburg"
"75",2024-01-20,"","Köln","Dortmund"
"76",2024-01-20,"","Freiburg","Hoffenheim"
"77",2024-01-20,"","Bochum","Stuttgart"
"78",2024-01-20,"","RB Leipzig","Leverkusen"
"79",2024-01-20,"","Mainz 05","Union Berlin"
"80",2024-01-20,"","Bayern Munich","Werder Bremen"
"81",2024-01-20,"","M'Gladbach","Augsburg"
"82",2024-01-27,"","Werder Bremen","Freiburg"
"83",2024-01-27,"","Augsburg","Bayern Munich"
"84",2024-01-27,"","Eint Frankfurt","Mainz 05"
"85",2024-01-27,"","Wolfsburg","Köln"
"86",2024-01-27,"","Union Berlin","Darmstadt 98"
"87",2024-01-27,"","Hoffenheim","Heidenheim"
"88",2024-01-27,"","Leverkusen","M'Gladbach"
"89",2024-01-27,"","Dortmund","Bochum"
"90",2024-01-27,"","Stuttgart","RB Leipzig"
"91",2024-02-03,"","Freiburg","Stuttgart"
"92",2024-02-03,"","Wolfsburg","Hoffenheim"
"93",2024-02-03,"","Heidenheim","Dortmund"
"94",2024-02-03,"","Bayern Munich","M'Gladbach"
"95",2024-02-03,"","Mainz 05","Werder Bremen"
"96",2024-02-03,"","Darmstadt 98","Leverkusen"
"97",2024-02-03,"","Bochum","Augsburg"
"98",2024-02-03,"","RB Leipzig","Union Berlin"
"99",2024-02-03,"","Köln","Eint Frankfurt"
"100",2024-02-10,"","Werder Bremen","Heidenheim"
"101",2024-02-10,"","Union Berlin","Wolfsburg"
