"","Date","Home","Away"
"1",2022-08-31,"Philadelphia","Atlanta Utd"
"2",2022-08-31,"Columbus Crew","Inter Miami"
"3",2022-08-31,"Toronto FC","LA Galaxy"
"4",2022-08-31,"CF Montréal","NY Red Bulls"
"5",2022-08-31,"Orlando City","Seattle"
"6",2022-08-31,"New England","Chicago Fire"
"7",2022-08-31,"Nashville","Colorado Rapids"
"8",2022-08-31,"Real Salt Lake","Minnesota Utd"
"9",2022-08-31,"Houston Dynamo","Los Angeles FC"
"10",2022-08-31,"Austin","Portland Timbers"
"11",2022-08-31,"NYCFC","D.C. United"
"12",2022-09-03,"Minnesota Utd","FC Dallas"
"13",2022-09-03,"Columbus Crew","Chicago Fire"
"14",2022-09-03,"NY Red Bulls","Philadelphia"
"15",2022-09-03,"FC Cincinnati","Charlotte"
"16",2022-09-03,"Nashville","Austin"
"17",2022-09-04,"Portland Timbers","Atlanta Utd"
"18",2022-09-04,"LA Galaxy","Sporting KC"
"19",2022-09-04,"Seattle","Houston Dynamo"
"20",2022-09-04,"San Jose","Vancouver"
"21",2022-09-04,"Toronto FC","CF Montréal"
"22",2022-09-04,"D.C. United","Colorado Rapids"
"23",2022-09-04,"Los Angeles FC","Real Salt Lake"
"24",2022-09-04,"New England","NYCFC"
"25",2022-09-07,"NYCFC","FC Cincinnati"
"26",2022-09-09,"CF Montréal","Columbus Crew"
"27",2022-09-10,"Charlotte","NYCFC"
"28",2022-09-10,"Nashville","LA Galaxy"
"29",2022-09-10,"Seattle","Austin"
"30",2022-09-10,"NY Red Bulls","New England"
"31",2022-09-10,"Chicago Fire","Inter Miami"
"32",2022-09-10,"Portland Timbers","Minnesota Utd"
"33",2022-09-10,"Philadelphia","Orlando City"
"34",2022-09-10,"FC Cincinnati","San Jose"
"35",2022-09-10,"Atlanta Utd","Toronto FC"
"36",2022-09-10,"Houston Dynamo","Sporting KC"
"37",2022-09-10,"Colorado Rapids","Vancouver"
"38",2022-09-10,"FC Dallas","Los Angeles FC"
"39",2022-09-10,"Real Salt Lake","D.C. United"
"40",2022-09-13,"Minnesota Utd","Los Angeles FC"
"41",2022-09-13,"CF Montréal","Chicago Fire"
"42",2022-09-13,"Sporting KC","D.C. United"
"43",2022-09-13,"Houston Dynamo","New England"
"44",2022-09-13,"Inter Miami","Columbus Crew"
"45",2022-09-14,"Austin","Real Salt Lake"
"46",2022-09-14,"Orlando City","Atlanta Utd"
"47",2022-09-14,"Vancouver","LA Galaxy"
"48",2022-09-14,"Colorado Rapids","San Jose"
"49",2022-09-16,"San Jose","FC Dallas"
"50",2022-09-16,"NYCFC","NY Red Bulls"
"51",2022-09-17,"Atlanta Utd","Philadelphia"
"52",2022-09-17,"Chicago Fire","Charlotte"
"53",2022-09-17,"Vancouver","Seattle"
"54",2022-09-17,"New England","CF Montréal"
"55",2022-09-17,"Orlando City","Toronto FC"
"56",2022-09-17,"Sporting KC","Minnesota Utd"
"57",2022-09-17,"LA Galaxy","Colorado Rapids"
"58",2022-09-17,"Real Salt Lake","FC Cincinnati"
"59",2022-09-17,"Austin","Nashville"
"60",2022-09-18,"Columbus Crew","Portland Timbers"
"61",2022-09-18,"D.C. United","Inter Miami"
"62",2022-09-18,"Los Angeles FC","Houston Dynamo"
"63",2022-09-24,"San Jose","LA Galaxy"
"64",2022-09-27,"Seattle","FC Cincinnati"
"65",2022-09-30,"San Jose","Minnesota Utd"
"66",2022-09-30,"Toronto FC","Inter Miami"
"67",2022-10-01,"New England","Atlanta Utd"
"68",2022-10-01,"Colorado Rapids","FC Dallas"
"69",2022-10-01,"NYCFC","Orlando City"
"70",2022-10-01,"Charlotte","Philadelphia"
"71",2022-10-01,"Vancouver","Austin"
"72",2022-10-01,"FC Cincinnati","Chicago Fire"
"73",2022-10-01,"Columbus Crew","NY Red Bulls"
"74",2022-10-01,"LA Galaxy","Real Salt Lake"
"75",2022-10-02,"Portland Timbers","Los Angeles FC"
"76",2022-10-02,"Sporting KC","Seattle"
"77",2022-10-02,"Nashville","Houston Dynamo"
"78",2022-10-05,"Charlotte","Columbus Crew"
"79",2022-10-05,"Inter Miami","Orlando City"
"80",2022-10-08,"Chicago Fire","New England"
"81",2022-10-08,"NY Red Bulls","Charlotte"
"82",2022-10-08,"Orlando City","Columbus Crew"
"83",2022-10-08,"Inter Miami","CF Montréal"
"84",2022-10-08,"Philadelphia","Toronto FC"
"85",2022-10-08,"Atlanta Utd","NYCFC"
"86",2022-10-08,"D.C. United","FC Cincinnati"
"87",2022-10-09,"Seattle","San Jose"
"88",2022-10-09,"Los Angeles FC","Nashville"
"89",2022-10-09,"Real Salt Lake","Portland Timbers"
"90",2022-10-09,"Austin","Colorado Rapids"
"91",2022-10-09,"Minnesota Utd","Vancouver"
"92",2022-10-09,"FC Dallas","Sporting KC"
"93",2022-10-09,"Houston Dynamo","LA Galaxy"
