"","Competition_Name","Gender","Country","Season_End_Year","Round","Wk","Day","Date","Time","Home","HomeGoals","Away","AwayGoals","Attendance","Venue","Referee","Notes","MatchURL","Home_xG","Away_xG"
"26","Serie A","M","ITA",2013,NA,"11","Sun",2012-11-04,NA,"Siena",1,"Genoa",0,NA,NA,"Sebastiano Peruzzo","","https://fbref.com/en/matches/e91b479a/Siena-Genoa-November-4-2012-Serie-A",NA,NA
"27","Serie A","M","ITA",2013,NA,"11","Sun",2012-11-04,NA,"Pescara",2,"Parma",0,NA,NA,"Davide Massa","","https://fbref.com/en/matches/0f61c14c/Pescara-Parma-November-4-2012-Serie-A",NA,NA
"28","Serie A","M","ITA",2013,NA,"11","Sun",2012-11-04,NA,"Sampdoria",1,"Atalanta",2,NA,NA,"Carmine Russo","","https://fbref.com/en/matches/11284397/Sampdoria-Atalanta-November-4-2012-Serie-A",NA,NA
"29","Serie A","M","ITA",2013,NA,"11","Sun",2012-11-04,NA,"Bologna",1,"Udinese",1,NA,NA,"Mauro Bergonzi","","https://fbref.com/en/matches/fc66e2ca/Bologna-Udinese-November-4-2012-Serie-A",NA,NA
"30","Serie A","M","ITA",2013,NA,"11","Sun",2012-11-04,NA,"Napoli",1,"Torino",1,NA,NA,"Paolo Valeri","","https://fbref.com/en/matches/bf6bddcc/Napoli-Torino-November-4-2012-Serie-A",NA,NA
"31","Serie A","M","ITA",2013,NA,"12","Sat",2012-11-10,NA,"Cagliari",0,"Catania",0,NA,NA,"Marco Di Bello","","https://fbref.com/en/matches/a7662c7e/Cagliari-Catania-November-10-2012-Serie-A",NA,NA
"32","Serie A","M","ITA",2013,NA,"12","Sat",2012-11-10,NA,"Pescara",1,"Juventus",6,NA,NA,"Luca Banti","","https://fbref.com/en/matches/a4847a23/Pescara-Juventus-November-10-2012-Serie-A",NA,NA
"33","Serie A","M","ITA",2013,NA,"12","Sun",2012-11-11,NA,"Lazio",3,"Roma",2,NA,NA,"Gianluca Rocchi","","https://fbref.com/en/matches/b9fe20c6/Lazio-Roma-November-11-2012-Serie-A",NA,NA
"34","Serie A","M","ITA",2013,NA,"12","Sun",2012-11-11,NA,"Palermo",2,"Sampdoria",0,NA,NA,"Antonio Giannoccaro","","https://fbref.com/en/matches/aca42b57/Palermo-Sampdoria-November-11-2012-Serie-A",NA,NA
"35","Serie A","M","ITA",2013,NA,"12","Sun",2012-11-11,NA,"Atalanta",3,"Inter",2,NA,NA,"Antonio Damato","","https://fbref.com/en/matches/9f679d15/Atalanta-Internazionale-November-11-2012-Serie-A",NA,NA
"36","Serie A","M","ITA",2013,NA,"12","Sun",2012-11-11,NA,"Genoa",2,"Napoli",4,NA,NA,"Nicola Rizzoli","","https://fbref.com/en/matches/a1d07cc9/Genoa-Napoli-November-11-2012-Serie-A",NA,NA
"37","Serie A","M","ITA",2013,NA,"12","Sun",2012-11-11,NA,"Milan",1,"Fiorentina",3,NA,NA,"Andrea Romeo","","https://fbref.com/en/matches/52840f0d/Milan-Fiorentina-November-11-2012-Serie-A",NA,NA
"38","Serie A","M","ITA",2013,NA,"12","Sun",2012-11-11,NA,"Chievo",2,"Udinese",2,NA,NA,"Daniele Doveri","","https://fbref.com/en/matches/020cf1af/Chievo-Udinese-November-11-2012-Serie-A",NA,NA
"39","Serie A","M","ITA",2013,NA,"12","Sun",2012-11-11,NA,"Torino",1,"Bologna",0,NA,NA,"Andrea Gervasoni","","https://fbref.com/en/matches/bb50a8af/Torino-Bologna-November-11-2012-Serie-A",NA,NA
"40","Serie A","M","ITA",2013,NA,"12","Sun",2012-11-11,NA,"Parma",0,"Siena",0,NA,NA,"Domenico Celi","","https://fbref.com/en/matches/e224e4ab/Parma-Siena-November-11-2012-Serie-A",NA,NA
"41","Serie A","M","ITA",2013,NA,"13","Sat",2012-11-17,NA,"Juventus",0,"Lazio",0,NA,NA,"Daniele Orsato","","https://fbref.com/en/matches/5726bccc/Juventus-Lazio-November-17-2012-Serie-A",NA,NA
"42","Serie A","M","ITA",2013,NA,"13","Sat",2012-11-17,NA,"Napoli",2,"Milan",2,NA,NA,"Mauro Bergonzi","","https://fbref.com/en/matches/02b98db1/Napoli-Milan-November-17-2012-Serie-A",NA,NA
"43","Serie A","M","ITA",2013,NA,"13","Sun",2012-11-18,NA,"Fiorentina",4,"Atalanta",1,NA,NA,"Andrea De Marco","","https://fbref.com/en/matches/7d28ea82/Fiorentina-Atalanta-November-18-2012-Serie-A",NA,NA
"44","Serie A","M","ITA",2013,NA,"13","Sun",2012-11-18,NA,"Bologna",3,"Palermo",0,NA,NA,"Paolo Valeri","","https://fbref.com/en/matches/8b7d8ab5/Bologna-Palermo-November-18-2012-Serie-A",NA,NA
"45","Serie A","M","ITA",2013,NA,"13","Sun",2012-11-18,NA,"Inter",2,"Cagliari",2,NA,NA,"Piero Giacomelli","","https://fbref.com/en/matches/d266d4dc/Internazionale-Cagliari-November-18-2012-Serie-A",NA,NA
"46","Serie A","M","ITA",2013,NA,"13","Sun",2012-11-18,NA,"Siena",1,"Pescara",0,NA,NA,"Massimiliano Irrati","","https://fbref.com/en/matches/e0d43847/Siena-Pescara-November-18-2012-Serie-A",NA,NA
"47","Serie A","M","ITA",2013,NA,"13","Sun",2012-11-18,NA,"Catania",2,"Chievo",1,NA,NA,"Sebastiano Peruzzo","","https://fbref.com/en/matches/29d3d9d4/Catania-Chievo-November-18-2012-Serie-A",NA,NA
"48","Serie A","M","ITA",2013,NA,"13","Sun",2012-11-18,NA,"Sampdoria",3,"Genoa",1,NA,NA,"Paolo Mazzoleni","","https://fbref.com/en/matches/21041656/Sampdoria-Genoa-November-18-2012-Serie-A",NA,NA
"49","Serie A","M","ITA",2013,NA,"13","Sun",2012-11-18,NA,"Udinese",2,"Parma",2,NA,NA,"Carmine Russo","","https://fbref.com/en/matches/ba05f121/Udinese-Parma-November-18-2012-Serie-A",NA,NA
"50","Serie A","M","ITA",2013,NA,"13","Mon",2012-11-19,NA,"Roma",2,"Torino",0,NA,NA,"Marco Guida","","https://fbref.com/en/matches/087392ac/Roma-Torino-November-19-2012-Serie-A",NA,NA
"51","Serie A","M","ITA",2013,NA,"14","Sat",2012-11-24,NA,"Palermo",3,"Catania",1,NA,NA,"Andrea Romeo","","https://fbref.com/en/matches/5198ecd1/Palermo-Catania-November-24-2012-Serie-A",NA,NA
"52","Serie A","M","ITA",2013,NA,"14","Sun",2012-11-25,NA,"Pescara",0,"Roma",1,NA,NA,"Andrea Gervasoni","","https://fbref.com/en/matches/7e8f5839/Pescara-Roma-November-25-2012-Serie-A",NA,NA
