"","Date","Time","Home","Away"
"1",2023-10-27,"20:45","Genoa","Salernitana"
"2",2023-10-28,"15:00","Sassuolo","Bologna"
"3",2023-10-28,"18:00","Lecce","Torino"
"4",2023-10-28,"20:45","Juventus","Hellas Verona"
"5",2023-10-29,"12:30","Cagliari","Frosinone"
"6",2023-10-29,"15:00","Monza","Udinese"
"7",2023-10-29,"18:00","Inter","Roma"
"8",2023-10-29,"20:45","Napoli","Milan"
"9",2023-10-30,"18:30","Empoli","Atalanta"
"10",2023-10-30,"20:45","Lazio","Fiorentina"
"11",2023-11-03,"20:45","Bologna","Lazio"
"12",2023-11-04,"15:00","Salernitana","Napoli"
"13",2023-11-04,"18:00","Atalanta","Inter"
"14",2023-11-04,"20:45","Milan","Udinese"
"15",2023-11-05,"12:30","Hellas Verona","Monza"
"16",2023-11-05,"15:00","Cagliari","Genoa"
"17",2023-11-05,"18:00","Roma","Lecce"
"18",2023-11-05,"20:45","Fiorentina","Juventus"
"19",2023-11-06,"18:30","Frosinone","Empoli"
"20",2023-11-06,"20:45","Torino","Sassuolo"
"21",2023-11-10,"18:30","Sassuolo","Salernitana"
"22",2023-11-10,"20:45","Genoa","Hellas Verona"
"23",2023-11-11,"15:00","Lecce","Milan"
"24",2023-11-11,"18:00","Juventus","Cagliari"
"25",2023-11-11,"20:45","Monza","Torino"
"26",2023-11-12,"12:30","Napoli","Empoli"
"27",2023-11-12,"15:00","Fiorentina","Bologna"
"28",2023-11-12,"15:00","Udinese","Atalanta"
"29",2023-11-12,"18:00","Lazio","Roma"
"30",2023-11-12,"20:45","Inter","Frosinone"
"31",2023-11-25,"15:00","Salernitana","Lazio"
"32",2023-11-25,"18:00","Atalanta","Napoli"
"33",2023-11-25,"20:45","Milan","Fiorentina"
"34",2023-11-26,"12:30","Cagliari","Monza"
"35",2023-11-26,"15:00","Frosinone","Genoa"
"36",2023-11-26,"15:00","Empoli","Sassuolo"
"37",2023-11-26,"18:00","Roma","Udinese"
"38",2023-11-26,"20:45","Juventus","Inter"
"39",2023-11-27,"18:30","Hellas Verona","Lecce"
"40",2023-11-27,"20:45","Bologna","Torino"
"41",2023-12-01,"20:45","Monza","Juventus"
"42",2023-12-02,"15:00","Genoa","Empoli"
"43",2023-12-02,"18:00","Lazio","Cagliari"
"44",2023-12-02,"20:45","Milan","Frosinone"
