"","Competition_Name","Gender","Country","Season_End_Year","Round","Wk","Day","Date","Time","Home","HomeGoals","Away","AwayGoals","Attendance","Venue","Referee","Notes","MatchURL","Home_xG","Away_xG"
"1","Fußball-Bundesliga","M","GER",2024,NA,"10","Fri",2023-11-03,"20:30","Darmstadt 98",NA,"Bochum",NA,NA,"Merck-Stadion am Böllenfalltor","",NA,"https://fbref.com/en/stathead/matchup/teams/b42c6323/6a6967fc/Bochum-vs-Darmstadt-98-History",NA,NA
"2","Fußball-Bundesliga","M","GER",2024,NA,"10","Sat",2023-11-04,"15:30","Mainz 05",NA,"RB Leipzig",NA,NA,"Mewa Arena","",NA,"https://fbref.com/en/stathead/matchup/teams/acbb6a5b/a224b06a/RB-Leipzig-vs-Mainz-05-History",NA,NA
"3","Fußball-Bundesliga","M","GER",2024,NA,"10","Sat",2023-11-04,"15:30","Freiburg",NA,"M'Gladbach",NA,NA,"Europa-Park Stadion","",NA,"https://fbref.com/en/stathead/matchup/teams/a486e511/32f3ee20/Freiburg-vs-Monchengladbach-History",NA,NA
"4","Fußball-Bundesliga","M","GER",2024,NA,"10","Sat",2023-11-04,"15:30","Köln",NA,"Augsburg",NA,NA,"RheinEnergieSTADION","",NA,"https://fbref.com/en/stathead/matchup/teams/bc357bf7/0cdc4311/Koln-vs-Augsburg-History",NA,NA
"5","Fußball-Bundesliga","M","GER",2024,NA,"10","Sat",2023-11-04,"15:30","Hoffenheim",NA,"Leverkusen",NA,NA,"PreZero Arena","",NA,"https://fbref.com/en/stathead/matchup/teams/c7a9f859/033ea6b8/Leverkusen-vs-Hoffenheim-History",NA,NA
"6","Fußball-Bundesliga","M","GER",2024,NA,"10","Sat",2023-11-04,"15:30","Union Berlin",NA,"Eint Frankfurt",NA,NA,"Stadion An der Alten Försterei","",NA,"https://fbref.com/en/stathead/matchup/teams/f0ac8ee6/7a41008f/Eintracht-Frankfurt-vs-Union-Berlin-History",NA,NA
"7","Fußball-Bundesliga","M","GER",2024,NA,"10","Sat",2023-11-04,"18:30","Dortmund",NA,"Bayern Munich",NA,NA,"Signal Iduna Park","",NA,"https://fbref.com/en/stathead/matchup/teams/add600ae/054efa67/Der-Klassiker-Dortmund-vs-Bayern-Munich-History",NA,NA
"8","Fußball-Bundesliga","M","GER",2024,NA,"10","Sun",2023-11-05,"15:30","Wolfsburg",NA,"Werder Bremen",NA,NA,"Volkswagen Arena","",NA,"https://fbref.com/en/stathead/matchup/teams/62add3bf/4eaa11d7/Werder-Bremen-vs-Wolfsburg-History",NA,NA
"9","Fußball-Bundesliga","M","GER",2024,NA,"10","Sun",2023-11-05,"17:30","Heidenheim",NA,"Stuttgart",NA,NA,"Voith-Arena","",NA,"https://fbref.com/en/stathead/matchup/teams/598bc722/18d9d2a7/Stuttgart-vs-Heidenheim-History",NA,NA
"10","Fußball-Bundesliga","M","GER",2024,NA,"11","Fri",2023-11-10,"20:30","M'Gladbach",NA,"Wolfsburg",NA,NA,"Stadion im Borussia-Park","",NA,"https://fbref.com/en/stathead/matchup/teams/4eaa11d7/32f3ee20/Wolfsburg-vs-Monchengladbach-History",NA,NA
