,Unnamed: 0,Competition_Name,Gender,Country,Season_End_Year,Round,Wk,Day,Date,Time,Home,HomeGoals,Away,AwayGoals,Attendance,Venue,Referee,Notes,MatchURL,Home_xG,Away_xG,advanced_match_stats_path,Home_Formation,Away_Formation,advanced_stat_needed
325,326,Fußball-Bundesliga,M,GER,2011,,11.0,Sat,2010-11-06,,M'Gladbach,3,Bayern Munich,3,,,Knut Kircher,,https://fbref.com/en/matches/0160766e/Monchengladbach-Bayern-Munich-November-6-2010-Bundesliga,,,Monchengladbach-Bayern-Munich-November-6-2010-Bundesliga,4-2-3-1,4-2-3-1,0.0
326,327,Fußball-Bundesliga,M,GER,2011,,11.0,Sat,2010-11-06,,Nürnberg,3,Köln,1,,,Markus Schmidt,,https://fbref.com/en/matches/84ab75c1/Nurnberg-Koln-November-6-2010-Bundesliga,,,Nurnberg-Koln-November-6-2010-Bundesliga,4-2-3-1,4-2-3-1,0.0
327,328,Fußball-Bundesliga,M,GER,2011,,11.0,Sat,2010-11-06,,Eint Frankfurt,3,Wolfsburg,1,,,Peter Sippel,,https://fbref.com/en/matches/c7107bc2/Eintracht-Frankfurt-Wolfsburg-November-6-2010-Bundesliga,,,Eintracht-Frankfurt-Wolfsburg-November-6-2010-Bundesliga,4-2-3-1,4-1-2-1-2,0.0
328,329,Fußball-Bundesliga,M,GER,2011,,11.0,Sat,2010-11-06,,Hamburger SV,2,Hoffenheim,1,,,Günter Perl,,https://fbref.com/en/matches/d87e521e/Hamburger-SV-Hoffenheim-November-6-2010-Bundesliga,,,Hamburger-SV-Hoffenheim-November-6-2010-Bundesliga,4-3-3,4-3-3,0.0
329,330,Fußball-Bundesliga,M,GER,2011,,11.0,Sat,2010-11-06,,Freiburg,1,Mainz 05,0,,,Wolfgang Stark,,https://fbref.com/en/matches/e7a2962b/Freiburg-Mainz-05-November-6-2010-Bundesliga,,,Freiburg-Mainz-05-November-6-2010-Bundesliga,4-1-4-1,4-1-2-1-2,0.0
330,331,Fußball-Bundesliga,M,GER,2011,,11.0,Sun,2010-11-07,,Stuttgart,6,Werder Bremen,0,,,Thorsten Kinhöfer,,https://fbref.com/en/matches/18a3d9b9/Stuttgart-Werder-Bremen-November-7-2010-Bundesliga,,,Stuttgart-Werder-Bremen-November-7-2010-Bundesliga,4-4-2,4-4-2,0.0
331,332,Fußball-Bundesliga,M,GER,2011,,11.0,Sun,2010-11-07,,Leverkusen,3,Kaiserslautern,1,,,Guido Winkmann,,https://fbref.com/en/matches/a930e186/Bayer-Leverkusen-Kaiserslautern-November-7-2010-Bundesliga,,,Bayer-Leverkusen-Kaiserslautern-November-7-2010-Bundesliga,4-4-1-1,4-1-2-1-2,0.0
332,333,Fußball-Bundesliga,M,GER,2011,,11.0,Sun,2010-11-07,,Hannover 96,0,Dortmund,4,,,Felix Brych,,https://fbref.com/en/matches/fb2ec3c3/Hannover-96-Dortmund-November-7-2010-Bundesliga,,,Hannover-96-Dortmund-November-7-2010-Bundesliga,4-4-2,4-2-3-1,0.0
333,334,Fußball-Bundesliga,M,GER,2011,,12.0,Fri,2010-11-12,,Dortmund,2,Hamburger SV,0,,,Deniz Aytekin,,https://fbref.com/en/matches/a84b89e3/Dortmund-Hamburger-SV-November-12-2010-Bundesliga,,,Dortmund-Hamburger-SV-November-12-2010-Bundesliga,4-2-3-1,4-1-4-1,0.0
334,335,Fußball-Bundesliga,M,GER,2011,,12.0,Sat,2010-11-13,,St. Pauli,0,Leverkusen,1,,,Michael Weiner,,https://fbref.com/en/matches/273f876c/St-Pauli-Bayer-Leverkusen-November-13-2010-Bundesliga,,,St-Pauli-Bayer-Leverkusen-November-13-2010-Bundesliga,4-2-3-1,4-2-3-1,0.0
335,336,Fußball-Bundesliga,M,GER,2011,,12.0,Sat,2010-11-13,,Mainz 05,0,Hannover 96,1,,,Knut Kircher,,https://fbref.com/en/matches/2bca35f1/Mainz-05-Hannover-96-November-13-2010-Bundesliga,,,Mainz-05-Hannover-96-November-13-2010-Bundesliga,4-2-3-1,4-4-1-1,0.0
336,337,Fußball-Bundesliga,M,GER,2011,,12.0,Sat,2010-11-13,,Kaiserslautern,3,Stuttgart,3,,,Babak Rafati,,https://fbref.com/en/matches/37ec57fe/Kaiserslautern-Stuttgart-November-13-2010-Bundesliga,,,Kaiserslautern-Stuttgart-November-13-2010-Bundesliga,4-2-3-1,4-4-2,0.0
