"","Competition_Name","Gender","Country","Season_End_Year","Round","Wk","Day","Date","Time","Home","HomeGoals","Away","AwayGoals","Attendance","Venue","Referee","Notes","MatchURL","Home_xG","Away_xG"
"1","Serie A","M","ITA",2010,NA,"1","Sat",2009-08-22,NA,"Bologna",1,"Fiorentina",1,NA,NA,"Andrea Gervasoni",NA,"https://fbref.com/en/matches/0e8497fa/Derby-dellAppennino-Bologna-Fiorentina-August-22-2009-Serie-A",NA,NA
"2","Serie A","M","ITA",2010,NA,"1","Sat",2009-08-22,NA,"Siena",1,"Milan",2,NA,NA,"Paolo Tagliavento",NA,"https://fbref.com/en/matches/f8bb22e8/Siena-Milan-August-22-2009-Serie-A",NA,NA
"3","Serie A","M","ITA",2010,NA,"1","Sun",2009-08-23,NA,"Livorno",0,"Cagliari",0,NA,NA,"Sebastiano Peruzzo",NA,"https://fbref.com/en/matches/0d718dde/Livorno-Cagliari-August-23-2009-Serie-A",NA,NA
"4","Serie A","M","ITA",2010,NA,"1","Sun",2009-08-23,NA,"Palermo",2,"Napoli",1,NA,NA,"Roberto Rosetti",NA,"https://fbref.com/en/matches/21a4cb90/Derby-delle-Due-Sicilie-Palermo-Napoli-August-23-2009-Serie-A",NA,NA
"5","Serie A","M","ITA",2010,NA,"1","Sun",2009-08-23,NA,"Juventus",1,"Chievo",0,NA,NA,"Gabriele Gava",NA,"https://fbref.com/en/matches/2f9c4008/Juventus-Chievo-August-23-2009-Serie-A",NA,NA
"6","Serie A","M","ITA",2010,NA,"1","Sun",2009-08-23,NA,"Lazio",1,"Atalanta",0,NA,NA,"Nicola Pierpaoli",NA,"https://fbref.com/en/matches/50d99cca/Lazio-Atalanta-August-23-2009-Serie-A",NA,NA
"7","Serie A","M","ITA",2010,NA,"1","Sun",2009-08-23,NA,"Catania",1,"Sampdoria",2,NA,NA,"Luca Banti",NA,"https://fbref.com/en/matches/772bae1a/Catania-Sampdoria-August-23-2009-Serie-A",NA,NA
"8","Serie A","M","ITA",2010,NA,"1","Sun",2009-08-23,NA,"Udinese",2,"Parma",2,NA,NA,"Paolo Valeri",NA,"https://fbref.com/en/matches/ab2547b0/Udinese-Parma-August-23-2009-Serie-A",NA,NA
"9","Serie A","M","ITA",2010,NA,"1","Sun",2009-08-23,NA,"Inter",1,"Bari",1,NA,NA,"Carmine Russo",NA,"https://fbref.com/en/matches/c0d11e2a/Internazionale-Bari-August-23-2009-Serie-A",NA,NA
"10","Serie A","M","ITA",2010,NA,"1","Sun",2009-08-23,NA,"Genoa",3,"Roma",2,NA,NA,"Emidio Morganti",NA,"https://fbref.com/en/matches/e7f84dfd/Genoa-Roma-August-23-2009-Serie-A",NA,NA
"11","Serie A","M","ITA",2010,NA,"10","Wed",2009-10-28,NA,"Parma",2,"Bari",0,NA,NA,"Leonardo Baracani",NA,"https://fbref.com/en/matches/17e2f428/Parma-Bari-October-28-2009-Serie-A",NA,NA
"12","Serie A","M","ITA",2010,NA,"10","Wed",2009-10-28,NA,"Lazio",0,"Cagliari",1,NA,NA,"Christian Brighi",NA,"https://fbref.com/en/matches/2d922ab5/Lazio-Cagliari-October-28-2009-Serie-A",NA,NA
"13","Serie A","M","ITA",2010,NA,"10","Wed",2009-10-28,NA,"Bologna",2,"Siena",1,NA,NA,"Andrea Romeo",NA,"https://fbref.com/en/matches/5711f154/Bologna-Siena-October-28-2009-Serie-A",NA,NA
"14","Serie A","M","ITA",2010,NA,"10","Wed",2009-10-28,NA,"Juventus",5,"Sampdoria",1,NA,NA,"Gianluca Rocchi",NA,"https://fbref.com/en/matches/6583bae8/Juventus-Sampdoria-October-28-2009-Serie-A",NA,NA
"15","Serie A","M","ITA",2010,NA,"10","Wed",2009-10-28,NA,"Napoli",2,"Milan",2,NA,NA,"Nicola Rizzoli",NA,"https://fbref.com/en/matches/7ba4d58f/Napoli-Milan-October-28-2009-Serie-A",NA,NA
"16","Serie A","M","ITA",2010,NA,"10","Wed",2009-10-28,NA,"Livorno",1,"Atalanta",0,NA,NA,"Mauro Bergonzi",NA,"https://fbref.com/en/matches/a9a5d93d/Livorno-Atalanta-October-28-2009-Serie-A",NA,NA
