"","Competition_Name","Gender","Country","Season_End_Year","Round","Wk","Day","Date","Time","Home","HomeGoals","Away","AwayGoals","Attendance","Venue","Referee","Notes","MatchURL","Home_xG","Away_xG"
"1","Serie A","M","ITA",2024,NA,"10","Fri",2023-10-27,"20:45","Genoa",NA,"Salernitana",NA,NA,"Stadio Comunale Luigi Ferraris","",NA,"https://fbref.com/en/stathead/matchup/teams/c5577084/658bf2de/Salernitana-vs-Genoa-History",NA,NA
"2","Serie A","M","ITA",2024,NA,"10","Sat",2023-10-28,"15:00","Sassuolo",NA,"Bologna",NA,NA,"Mapei Stadium - Città del Tricolore","",NA,"https://fbref.com/en/stathead/matchup/teams/e2befd26/1d8099f8/Sassuolo-vs-Bologna-History",NA,NA
"3","Serie A","M","ITA",2024,NA,"10","Sat",2023-10-28,"18:00","Lecce",NA,"Torino",NA,NA,"Stadio Comunale Via Del Mare","",NA,"https://fbref.com/en/stathead/matchup/teams/ffcbe334/105360fe/Lecce-vs-Torino-History",NA,NA
"4","Serie A","M","ITA",2024,NA,"10","Sat",2023-10-28,"20:45","Juventus",NA,"Hellas Verona",NA,NA,"Allianz Stadium","",NA,"https://fbref.com/en/stathead/matchup/teams/e0652b02/0e72edf2/Juventus-vs-Hellas-Verona-History",NA,NA
"5","Serie A","M","ITA",2024,NA,"10","Sun",2023-10-29,"12:30","Cagliari",NA,"Frosinone",NA,NA,"Unipol Domus","",NA,"https://fbref.com/en/stathead/matchup/teams/c4260e09/6a7ad59d/Cagliari-vs-Frosinone-History",NA,NA
"6","Serie A","M","ITA",2024,NA,"10","Sun",2023-10-29,"15:00","Monza",NA,"Udinese",NA,NA,"U-Power Stadium","",NA,"https://fbref.com/en/stathead/matchup/teams/21680aa4/04eea015/Monza-vs-Udinese-History",NA,NA
"7","Serie A","M","ITA",2024,NA,"10","Sun",2023-10-29,"18:00","Inter",NA,"Roma",NA,NA,"Stadio Giuseppe Meazza","",NA,"https://fbref.com/en/stathead/matchup/teams/d609edc0/cf74a709/Internazionale-vs-Roma-History",NA,NA
"8","Serie A","M","ITA",2024,NA,"10","Sun",2023-10-29,"20:45","Napoli",NA,"Milan",NA,NA,"Stadio Diego Armando Maradona","",NA,"https://fbref.com/en/stathead/matchup/teams/dc56fe14/d48ad4ff/Milan-vs-Napoli-History",NA,NA
"9","Serie A","M","ITA",2024,NA,"10","Mon",2023-10-30,"18:30","Empoli",NA,"Atalanta",NA,NA,"Stadio Carlo Castellani","",NA,"https://fbref.com/en/stathead/matchup/teams/a3d88bd8/922493f3/Empoli-vs-Atalanta-History",NA,NA
"10","Serie A","M","ITA",2024,NA,"10","Mon",2023-10-30,"20:45","Lazio",NA,"Fiorentina",NA,NA,"Stadio Olimpico","",NA,"https://fbref.com/en/stathead/matchup/teams/7213da33/421387cf/Lazio-vs-Fiorentina-History",NA,NA
"11","Serie A","M","ITA",2024,NA,"11","Fri",2023-11-03,"20:45","Bologna",NA,"Lazio",NA,NA,"Stadio Renato Dall'Ara","",NA,"https://fbref.com/en/stathead/matchup/teams/7213da33/1d8099f8/Lazio-vs-Bologna-History",NA,NA
"12","Serie A","M","ITA",2024,NA,"11","Sat",2023-11-04,"15:00","Salernitana",NA,"Napoli",NA,NA,"Stadio Arechi","",NA,"https://fbref.com/en/stathead/matchup/teams/d48ad4ff/c5577084/Napoli-vs-Salernitana-History",NA,NA
"13","Serie A","M","ITA",2024,NA,"11","Sat",2023-11-04,"18:00","Atalanta",NA,"Inter",NA,NA,"Gewiss Stadium","",NA,"https://fbref.com/en/stathead/matchup/teams/d609edc0/922493f3/Internazionale-vs-Atalanta-History",NA,NA
"14","Serie A","M","ITA",2024,NA,"11","Sat",2023-11-04,"20:45","Milan",NA,"Udinese",NA,NA,"Stadio Giuseppe Meazza","",NA,"https://fbref.com/en/stathead/matchup/teams/dc56fe14/04eea015/Milan-vs-Udinese-History",NA,NA
